name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tramaine Butler,324,0.45399999999999996,0.429,0.281,0.5820000000000001,0.302,0.312,0.228,0.391,0.40700000000000003,0.318,0.833,0.312,0.594,2011-12
Ivory White,254,0.525,0.504,0.244,0.71,0.364,0.201,0.17600000000000002,0.33299999999999996,0.555,0.355,0.98,0.272,0.652,2011-12
Phillip Crawford,202.99999999999997,0.508,0.478,0.532,0.639,0.565,0.46799999999999997,0.295,0.5710000000000001,0,NA,NA,0.43799999999999994,0.618,2011-12
Ryan Watts,191,0.42900000000000005,0.382,0.225,0.326,0.35700000000000004,0.382,0.35600000000000004,0.308,0.39299999999999996,0.293,0.8640000000000001,0.335,0.688,2011-12
Kenderek Washington,182,0.551,0.5379999999999999,0.17600000000000002,0.688,0.318,0.35200000000000004,0.43799999999999994,0.536,0.473,0.37200000000000005,0.9059999999999999,0.258,0.617,2011-12
Jeffery Middlebrooks,166,0.44,0.358,0.151,0.36,0,0.19899999999999998,0.212,0.28600000000000003,0.6509999999999999,0.26899999999999996,0.586,0.506,0.738,2011-12
Stephawn Brown,148,0.42200000000000004,0.43200000000000005,0.33799999999999997,0.66,0.33299999999999996,0.358,0.245,0.5379999999999999,0.304,0.267,1,0.18899999999999997,0.28600000000000003,2011-12
Luther Page,105,0.362,0.35200000000000004,0.457,0.479,0.609,0.5429999999999999,0.24600000000000002,0.7859999999999999,0,NA,NA,0.581,0.377,2011-12
Josh Mason,61,0.34099999999999997,0.311,0.49200000000000005,0.433,0.5379999999999999,0.377,0.261,0.16699999999999998,0.131,0,NA,0.426,0.462,2011-12
Jonathan Jefferson,50,0.307,0.26,0.34,0.41200000000000003,0.5710000000000001,0.24,0.25,0.33299999999999996,0.42,0.095,1,0.36,0.556,2011-12
Anthony Price,19,0.451,0.447,0.579,0.636,0,0.158,0,NA,0.263,0.2,1,0.474,0.444,2011-12
Eugene Johnson,11,0.508,0.636,0.818,0.667,0.16699999999999998,0.182,0.5,0,0,NA,NA,0.909,0.2,2011-12
"PURVIS,BRYANT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1714,0.45999999999999996,0.433,0.307,0.57,0.4,0.331,0.27899999999999997,0.462,0.36200000000000004,0.306,0.863,0.354,0.584,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
