name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Frankie Sullivan,329,0.512,0.474,0.23399999999999999,0.5710000000000001,0.205,0.191,0.349,0.273,0.574,0.317,0.867,0.34700000000000003,0.7020000000000001,2011-12
Kenny Gabriel,329,0.524,0.509,0.301,0.667,0.591,0.295,0.381,0.649,0.40399999999999997,0.32299999999999995,0.93,0.198,0.6459999999999999,2011-12
Rob Chubb,229,0.48200000000000004,0.45,0.38,0.552,0.7290000000000001,0.616,0.39,0.655,0.004,0,NA,0.28800000000000003,0.682,2011-12
Varez Ward,206,0.459,0.39299999999999996,0.413,0.494,0.19,0.209,0.209,0.444,0.379,0.256,0.9,0.612,0.6509999999999999,2011-12
Chris Denson,194,0.535,0.5,0.546,0.585,0.5,0.258,0.28,0.35700000000000004,0.196,0.368,0.857,0.552,0.636,2011-12
Josh Wallace,86,0.49499999999999994,0.465,0.5579999999999999,0.542,0.038,0.36,0.355,0,0.081,0.28600000000000003,1,0.465,0.6,2011-12
Allen Payne,75,0.48400000000000004,0.44,0.6,0.511,0.435,0.22699999999999998,0.235,1,0.17300000000000001,0.308,1,0.387,0.69,2011-12
Noel Johnson,59,0.328,0.331,0.11900000000000001,0.28600000000000003,0,0.254,0.267,0.25,0.627,0.243,0.778,0.017,0,2011-12
Josh Langford,56.00000000000001,0.583,0.5710000000000001,0.41100000000000003,0.696,0.562,0.304,0.588,0.4,0.28600000000000003,0.25,1,0.25,0.643,2011-12
Adrian Forbes,54,0.524,0.519,0.63,0.6759999999999999,0.565,0.37,0.25,0.4,0,NA,NA,0.5,0.519,2011-12
Willy Kouassi,33,0.498,0.485,0.5760000000000001,0.684,0.462,0.424,0.214,0,0,NA,NA,0.455,0.5329999999999999,2011-12
Tony Neysmith,9,0.11100000000000002,0.111,0.444,0.25,0,0.556,0,NA,0,NA,NA,0,NA,2011-12
Cedric McAfee,6,0,0,0,NA,NA,0.5,0,NA,0.5,0,NA,0,NA,2011-12
T.J. Rice,3,0,0,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0,NA,2011-12
Dylan Spencer,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,2,0,2011-12
Jake Drum,0,1.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2011-12
Total,1669.0000000000002,0.496,0.46399999999999997,0.38,0.5760000000000001,0.44,0.31,0.337,0.494,0.31,0.302,0.8909999999999999,0.364,0.648,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
