name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Noah Hartsock,382,0.63,0.581,0.243,0.7959999999999999,0.703,0.665,0.512,0.731,0.092,0.34299999999999997,1,0.39799999999999996,0.8420000000000001,2011-12,BYU
Brandon Davies,380,0.554,0.517,0.355,0.726,0.5820000000000001,0.637,0.401,0.515,0.008,0.33299999999999996,1,0.5529999999999999,0.662,2011-12,BYU
Charles Abouo,288,0.557,0.514,0.212,0.639,0.385,0.396,0.40399999999999997,0.28300000000000003,0.392,0.37200000000000005,0.8809999999999999,0.413,0.7390000000000001,2011-12,BYU
Matt Carlino,274,0.506,0.47600000000000003,0.15,0.732,0.2,0.39799999999999996,0.358,0.179,0.45299999999999996,0.331,0.6829999999999999,0.212,0.759,2011-12,BYU
Brock Zylstra,213,0.585,0.573,0.183,0.795,0.452,0.192,0.39,0.562,0.624,0.376,0.96,0.27699999999999997,0.644,2011-12,BYU
Anson Winder,131,0.48800000000000004,0.462,0.221,0.655,0.579,0.13699999999999998,0.222,0.25,0.6409999999999999,0.298,0.92,0.313,0.634,2011-12,BYU
Damarcus Harrison,109.00000000000001,0.411,0.39899999999999997,0.183,0.7,0.5,0.36700000000000005,0.25,0.4,0.45,0.265,1,0.174,0.526,2011-12,BYU
Nate Austin,107,0.5700000000000001,0.575,0.23399999999999999,0.72,0.278,0.551,0.5589999999999999,0.606,0.215,0.304,0.857,0.364,0.513,2011-12,BYU
Craig Cusick,89,0.523,0.494,0.146,0.615,0.25,0.20199999999999999,0.16699999999999998,0.33299999999999996,0.652,0.379,1,0.382,0.647,2011-12,BYU
Stephen Rogers,88,0.5680000000000001,0.557,0.136,0.833,0.8,0.341,0.5,0.267,0.523,0.348,0.938,0.17,0.667,2011-12,BYU
Josh Sharp,23,0.48600000000000004,0.413,0.391,0.556,1,0.391,0.33299999999999996,0,0.217,0.2,1,1,0.609,2011-12,BYU
Nick Martineau,13,0.502,0.5,0,NA,NA,0.615,0.25,0.5,0.385,0.6,1,0.154,0.5,2011-12,BYU
Chris Collinsworth,2,0,0,0,NA,NA,0.5,0,NA,0.5,0,NA,0,NA,2011-12,BYU
"MILLER,QUINCY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,BYU
Michael Boswell,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,BYU
Total,2099,0.553,0.521,0.22699999999999998,0.725,0.526,0.449,0.42200000000000004,0.515,0.32299999999999995,0.34299999999999997,0.897,0.36700000000000005,0.7,2011-12,BYU
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,BYU
