name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Pierre Jackson,378,0.595,0.552,0.35200000000000004,0.5710000000000001,0.11800000000000001,0.201,0.382,0.069,0.447,0.408,0.46399999999999997,0.341,0.8220000000000001,2011-12,Baylor
Perry Jones III,364,0.539,0.514,0.371,0.7040000000000001,0.621,0.5379999999999999,0.39299999999999996,0.545,0.091,0.303,0.9,0.28,0.696,2011-12,Baylor
Quincy Miller,309,0.541,0.485,0.26899999999999996,0.627,0.6920000000000001,0.508,0.395,0.419,0.223,0.348,0.875,0.369,0.816,2011-12,Baylor
Brady Heslip,277,0.656,0.635,0.069,0.632,0.5,0.13699999999999998,0.368,0.35700000000000004,0.794,0.455,0.96,0.13699999999999998,0.9209999999999999,2011-12,Baylor
Quincy Acy,274,0.638,0.5820000000000001,0.584,0.738,0.636,0.39799999999999996,0.33899999999999997,0.649,0.018000000000000002,0.6,1,0.635,0.782,2011-12,Baylor
Anthony Jones,156,0.558,0.551,0.28800000000000003,0.778,0.457,0.314,0.36700000000000005,0.222,0.397,0.355,0.909,0.218,0.588,2011-12,Baylor
A.J. Walton,145,0.413,0.341,0.37200000000000005,0.444,0.292,0.37200000000000005,0.278,0.267,0.255,0.18899999999999997,1,0.40700000000000003,0.746,2011-12,Baylor
Cory Jefferson,90,0.543,0.522,0.42200000000000004,0.737,0.679,0.556,0.38,0.526,0.022000000000000002,0,NA,0.5,0.6,2011-12,Baylor
Deuce Bello,71,0.522,0.5,0.634,0.578,0.5379999999999999,0.141,0.5,0.2,0.225,0.188,1,0.7040000000000001,0.56,2011-12,Baylor
Gary Franklin,62,0.445,0.452,0.048,0.33299999999999996,0,0.081,0,NA,0.871,0.33299999999999996,0.833,0.032,0,2011-12,Baylor
Fred Ellis,19,0.466,0.289,0.263,0.2,0,0.263,0,NA,0.474,0.33299999999999996,1,0.632,1,2011-12,Baylor
Jacob Neubert,3,0.33299999999999996,0.33299999999999996,0,NA,NA,1,0.33299999999999996,0,0,NA,NA,0,NA,2011-12,Baylor
"HOOD,RODNEY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,Baylor
Total,2148,0.5660000000000001,0.528,0.335,0.65,0.515,0.35,0.368,0.426,0.315,0.38299999999999995,0.807,0.353,0.754,2011-12,Baylor
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,Baylor
