name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Ryan Anderson,18,0.153,0.16899999999999998,0.733,0.027999999999999997,0.027000000000000003,0.33299999999999996,2011-12,BostonCollege
Matt Humphrey,8,0.043,0.047,0.5,0.049,0.1,0.5,2011-12,BostonCollege
Patrick Heckmann,7,0.11800000000000001,0.10300000000000001,0.5,0.036000000000000004,0,0,2011-12,BostonCollege
Dennis Clifford,7,0.057,0.07400000000000001,0.857,0,0,NA,2011-12,BostonCollege
Eddie Odio,7,0.462,0.375,0.5,0.25,NA,0,2011-12,BostonCollege
CAIN,2,1,NA,0,0.33299999999999996,NA,0,2011-12,BostonCollege
Kc Caudill,2,0.125,0.16699999999999998,1,0,0,NA,2011-12,BostonCollege
Gabe Moton,2,0.069,0.071,0.5,0,0,NA,2011-12,BostonCollege
Lonnie Jackson,2,0.042,0,0,0.05,0,0,2011-12,BostonCollege
John Cahill,1,0.25,0.5,1,0,0,NA,2011-12,BostonCollege
Total,56,0.092,0.10400000000000001,0.644,0.023,0.016,0.222,2011-12,BostonCollege
