name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Javon McCrea,47,0.18,0.19899999999999998,0.727,0.035,0.069,0.667,2011-12
Mitchell Watt,21,0.12300000000000001,0.10099999999999999,0.55,0.006999999999999999,0.013999999999999999,1,2011-12
Titus Robinson,18,0.172,0.183,0.688,0.065,0.222,1,2011-12
Dave Barnett,5,0.094,0.156,1,0,0,NA,2011-12
Jarod Oldham,4,0.045,0.038,0.33299999999999996,0.05,0,0,2011-12
Auraum Nuiriankh,4,0.33299999999999996,0.5,0.75,0,0,NA,2011-12
Xavier Ford,4,0.308,0.2,0.25,0,0,NA,2011-12
Cameron Downing,2,0.1,0,0,0,0,NA,2011-12
Corey Raley-Ross,1,0,0,NA,0.091,0,0,2011-12
Zach Filzen,1,0,0,NA,0,0,NA,2011-12
Total,107,0.136,0.145,0.653,0.019,0.033,0.625,2011-12
