name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Mike Venezia,244,0.53,0.49200000000000005,0.07400000000000001,0.33299999999999996,0.16699999999999998,0.385,0.35100000000000003,0.33299999999999996,0.541,0.409,0.7959999999999999,0.23800000000000002,0.828,2011-12
Pat Moore,214,0.614,0.5820000000000001,0.243,0.635,0.39399999999999996,0.182,0.308,0.33299999999999996,0.575,0.431,0.792,0.266,0.825,2011-12
Sterling Melville,204,0.49499999999999994,0.46799999999999997,0.525,0.561,0.35,0.245,0.32,0.43799999999999994,0.23,0.27699999999999997,0.9229999999999999,0.534,0.569,2011-12
Mitch Rolls,202,0.5630000000000001,0.532,0.11900000000000001,0.25,0.16699999999999998,0.327,0.424,0.107,0.5539999999999999,0.43799999999999994,0.7140000000000001,0.282,0.754,2011-12
Nick Pascale,151,0.52,0.49,0.596,0.622,0.536,0.40399999999999997,0.295,0.556,0,NA,NA,0.47,0.62,2011-12
Brandon James,129,0.52,0.49200000000000005,0.19399999999999998,0.72,0.556,0.302,0.282,0.364,0.504,0.354,0.9570000000000001,0.248,0.7190000000000001,2011-12
John Brandenburg,115.99999999999999,0.554,0.509,0.621,0.556,0.65,0.379,0.43200000000000005,0.737,0,NA,NA,0.5,0.7070000000000001,2011-12
Yaw Gyawu,110.00000000000001,0.498,0.491,0.345,0.711,0.63,0.655,0.375,0.63,0,NA,NA,0.318,0.514,2011-12
Luke Roh,85,0.461,0.376,0.47100000000000003,0.425,0.11800000000000001,0.494,0.35700000000000004,0.33299999999999996,0.035,0,NA,0.5529999999999999,0.745,2011-12
Matt McMullen,57.99999999999999,0.39,0.353,0.293,0.41200000000000003,0.429,0.293,0.353,0.16699999999999998,0.414,0.20800000000000002,0.8,0.22399999999999998,0.6920000000000001,2011-12
Chad Johnson,15,0.4320000000000001,0.36700000000000005,0.267,0.5,0.5,0.133,1,1,0.6,0.111,1,0.33299999999999996,0.8,2011-12
Clayton Graham,2,0.847,1,0,NA,NA,1,1,1,0,NA,NA,1,0.5,2011-12
Jared Accetturra,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2011-12
Lazar Bogdanovic,1,1,1,0,NA,NA,1,1,0,0,NA,NA,0,NA,2011-12
"TROTTER,JABARI",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1532,0.529,0.495,0.318,0.5589999999999999,0.46,0.34600000000000003,0.358,0.42100000000000004,0.336,0.384,0.8029999999999999,0.355,0.6890000000000001,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
