name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Miles Plumlee,35,0.363,0.292,0.5760000000000001,0.036000000000000004,0.083,1,2011-12
Mason Plumlee,31,0.154,0.13,0.583,0.07400000000000001,0.028999999999999998,0.14300000000000002,2011-12
Ryan Kelly,18,0.19699999999999998,0.23800000000000002,0.769,0.065,0.12,0.6,2011-12
Josh Hairston,12,0.278,0.25,0.5,0.062,0,0,2011-12
Austin Rivers,9,0.043,0.061,0.833,0.02,0.028999999999999998,0.5,2011-12
Tyler Thornton,4,0.25,0.375,1,0.071,0,0,2011-12
Michael Gbinije,2,0.28600000000000003,0.28600000000000003,1,0,NA,NA,2011-12
Andre Dawkins,2,0.059000000000000004,0.1,1,0,0,NA,2011-12
Quinn Cook,2,0.04,0,0,0.028999999999999998,0.067,1,2011-12
Total,115,0.154,0.149,0.634,0.035,0.039,0.4,2011-12
