name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Miguel Paul,339,0.548,0.48200000000000004,0.245,0.45799999999999996,0.079,0.20600000000000002,0.35700000000000004,0.04,0.5489999999999999,0.36,0.46299999999999997,0.531,0.767,2011-12
Darrius Morrow,294,0.5760000000000001,0.544,0.507,0.631,0.723,0.49,0.45799999999999996,0.7120000000000001,0.003,0,NA,0.5,0.6729999999999999,2011-12
Maurice Kemp,245.00000000000003,0.543,0.49200000000000005,0.33899999999999997,0.675,0.5710000000000001,0.486,0.40299999999999997,0.542,0.17600000000000002,0.256,1,0.38799999999999996,0.779,2011-12
Shamarr Bowden,196,0.562,0.5539999999999999,0.071,0.429,0.16699999999999998,0.184,0.389,0.14300000000000002,0.745,0.40399999999999997,0.898,0.11199999999999999,0.682,2011-12
Paris Roberts-Campbell,161,0.45799999999999996,0.43200000000000005,0.14300000000000002,0.652,0.667,0.13699999999999998,0.22699999999999998,0.6,0.72,0.284,1,0.193,0.71,2011-12
Erin Straughn,145,0.545,0.5379999999999999,0.228,0.758,0.52,0.24100000000000002,0.4,0.5,0.531,0.33799999999999997,0.846,0.172,0.6,2011-12
Robert Sampson,136,0.544,0.537,0.368,0.56,0.679,0.235,0.281,0.667,0.397,0.444,0.958,0.213,0.586,2011-12
Corvonn Gaines,101,0.4690000000000001,0.5,0.386,0.59,0.217,0.188,0.263,0,0.426,0.349,0.9329999999999999,0.317,0.25,2011-12
Austin Steed,48,0.51,0.479,0.562,0.556,0.8,0.43799999999999994,0.381,0,0,NA,NA,0.562,0.593,2011-12
Petar Torlak,18,0.325,0.33299999999999996,0.33299999999999996,0.5,0.33299999999999996,0.278,0.6,0.667,0.389,0,NA,0.055999999999999994,0,2011-12
Darius Morales,15,0.355,0.33299999999999996,0.6,0.444,1,0.4,0.16699999999999998,0,0,NA,NA,0.267,0.5,2011-12
Yasin Kolo,8,0.625,0.625,0.25,0.5,1,0.75,0.667,0.25,0,NA,NA,0,NA,2011-12
Francis Edosomwan,3,0,0,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0,NA,2011-12
Total,1709,0.535,0.505,0.304,0.593,0.5489999999999999,0.302,0.391,0.47,0.39399999999999996,0.349,0.7959999999999999,0.34700000000000003,0.685,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
