name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kentavious Caldwell-Pope,384,0.49899999999999994,0.48,0.22399999999999998,0.605,0.462,0.21899999999999997,0.41700000000000004,0.4,0.557,0.304,0.769,0.21100000000000002,0.654,2011-12,Georgia
Gerald Robinson,367,0.525,0.469,0.49,0.55,0.273,0.316,0.293,0.294,0.193,0.366,0.6920000000000001,0.376,0.797,2011-12,Georgia
Dustin Ware,227.99999999999997,0.512,0.46299999999999997,0.057,0.615,0.375,0.145,0.455,0.133,0.7979999999999999,0.302,0.6,0.23199999999999998,0.9059999999999999,2011-12,Georgia
Nemanja Djurisic,215,0.4730000000000001,0.451,0.302,0.6,0.5379999999999999,0.442,0.295,0.28600000000000003,0.256,0.364,0.9,0.205,0.659,2011-12,Georgia
Donte Williams,200,0.49499999999999994,0.475,0.555,0.667,0.541,0.445,0.23600000000000002,0.81,0,NA,NA,0.54,0.546,2011-12,Georgia
Marcus Thornton,105,0.33599999999999997,0.295,0.34299999999999997,0.389,0.5,0.495,0.212,0.273,0.162,0.235,1,0.34299999999999997,0.556,2011-12,Georgia
Vincent Williams,78,0.534,0.506,0.256,0.6,0.16699999999999998,0.244,0.42100000000000004,0.125,0.5,0.33299999999999996,0.769,0.26899999999999996,0.7140000000000001,2011-12,Georgia
Sherrard Brantley,59,0.402,0.381,0.068,0.75,0.667,0.068,0,NA,0.8640000000000001,0.255,1,0.068,1,2011-12,Georgia
John Florveus,57.99999999999999,0.43100000000000005,0.414,0.569,0.636,0.524,0.431,0.12,0.667,0,NA,NA,0.293,0.529,2011-12,Georgia
Connor Nolte,26,0.48800000000000004,0.462,0.154,0.25,1,0.154,0.5,0,0.6920000000000001,0.33299999999999996,1,0.385,0.6,2011-12,Georgia
John Cannon,16,0.49300000000000005,0.375,0.188,0.33299999999999996,1,0.812,0.385,0.4,0,NA,NA,0.562,0.889,2011-12,Georgia
Tim Dixon,7.000000000000001,0.33699999999999997,0.429,0.28600000000000003,0.5,0,0.7140000000000001,0.4,1,0,NA,NA,0.5710000000000001,0,2011-12,Georgia
Matt Bucklin,3,0.22599999999999998,0,0,NA,NA,0.667,0,NA,0.33299999999999996,0,NA,1,0.667,2011-12,Georgia
Jay Rome,3,0.38,0.33299999999999996,0.667,0.5,0,0.33299999999999996,0,NA,0,NA,NA,0.667,0.5,2011-12,Georgia
Elliott Long,1,0,0,1,0,NA,0,NA,NA,0,NA,NA,0,NA,2011-12,Georgia
"MADDEN,RASHAD",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,Georgia
Total,1750,0.48700000000000004,0.45299999999999996,0.32,0.5820000000000001,0.426,0.31,0.303,0.37200000000000005,0.37,0.312,0.752,0.303,0.687,2011-12,Georgia
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,Georgia
