name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Stephen Madison,311,0.5650000000000001,0.535,0.363,0.619,0.371,0.23800000000000002,0.35100000000000003,0.423,0.39899999999999997,0.379,0.9359999999999999,0.28600000000000003,0.742,2011-12,Idaho
Kyle Barone,290,0.5750000000000001,0.5479999999999999,0.593,0.628,0.648,0.4,0.44,0.451,0.006999999999999999,0,NA,0.583,0.639,2011-12,Idaho
Deremy Geiger,283,0.644,0.617,0.163,0.565,0.26899999999999996,0.138,0.462,0.111,0.7,0.439,0.9309999999999999,0.353,0.77,2011-12,Idaho
Djim Bandoumel,204,0.548,0.525,0.652,0.586,0.718,0.348,0.408,0.586,0,NA,NA,0.436,0.629,2011-12,Idaho
Landon Tatum,174,0.531,0.46799999999999997,0.368,0.516,0.121,0.397,0.33299999999999996,0.304,0.23600000000000002,0.415,0.882,0.672,0.6920000000000001,2011-12,Idaho
Connor Hill,143,0.5720000000000001,0.563,0.091,0.5379999999999999,0.5710000000000001,0.055999999999999994,0.375,0.667,0.853,0.385,0.9790000000000001,0.07,0.8,2011-12,Idaho
Matt Borton,66,0.49699999999999994,0.49200000000000005,0.152,0.6,0.16699999999999998,0.22699999999999998,0.467,0.429,0.621,0.317,1,0.33299999999999996,0.5,2011-12,Idaho
Mansa Habeeb,64,0.5730000000000001,0.547,0.5,0.7809999999999999,0.4,0.266,0.41200000000000003,0.14300000000000002,0.23399999999999999,0.133,0.5,0.9059999999999999,0.603,2011-12,Idaho
Dazmond Starke,53,0.44600000000000006,0.415,0.45299999999999996,0.667,0.688,0.547,0.207,0.33299999999999996,0,NA,NA,0.302,0.625,2011-12,Idaho
Mike McChristian,50,0.625,0.62,0.38,0.737,0.429,0.5,0.56,0.429,0.12,0.33299999999999996,1,0.22,0.636,2011-12,Idaho
Wendell Faines,28.999999999999996,0.505,0.483,0.586,0.647,0.636,0.414,0.25,0.33299999999999996,0,NA,NA,0.483,0.5710000000000001,2011-12,Idaho
Joe Kammerer,25,0.44,0.44,0.48,0.667,0.625,0.52,0.231,0.33299999999999996,0,NA,NA,0,NA,2011-12,Idaho
Sheridan Shayne,0,1.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2011-12,Idaho
Total,1692.0000000000002,0.5680000000000001,0.54,0.387,0.614,0.515,0.28800000000000003,0.389,0.4,0.324,0.392,0.94,0.41200000000000003,0.6729999999999999,2011-12,Idaho
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,Idaho
