name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tyler Brown,337,0.604,0.5710000000000001,0.175,0.5760000000000001,0.235,0.309,0.385,0.15,0.516,0.45399999999999996,0.81,0.309,0.7879999999999999,2011-12
Jackie Carmichael,315,0.588,0.537,0.435,0.723,0.657,0.552,0.385,0.433,0.013000000000000001,0.5,1,0.667,0.7140000000000001,2011-12
Nic Moore,260,0.5630000000000001,0.504,0.212,0.4,0.22699999999999998,0.235,0.41,0.08,0.5539999999999999,0.389,0.625,0.40399999999999997,0.8290000000000001,2011-12
Jon Ekey,244,0.602,0.588,0.205,0.76,0.816,0.201,0.34700000000000003,0.47100000000000003,0.594,0.40700000000000003,0.966,0.14300000000000002,0.7709999999999999,2011-12
John Wilkins,189,0.545,0.474,0.201,0.789,0.7,0.376,0.35200000000000004,0.2,0.423,0.28800000000000003,1,0.513,0.794,2011-12
Bryant Allen,162,0.548,0.522,0.08,0.231,0,0.327,0.434,0.087,0.593,0.406,0.6920000000000001,0.16,0.846,2011-12
Anthony Cousin,145,0.47800000000000004,0.431,0.172,0.6,0.2,0.28300000000000003,0.244,0.4,0.545,0.316,0.8,0.297,0.767,2011-12
Jordan Threloff,65,0.547,0.523,0.508,0.636,0.667,0.49200000000000005,0.406,0.385,0,NA,NA,0.708,0.5870000000000001,2011-12
Johnny Hill,37,0.5630000000000001,0.527,0.541,0.6,0.41700000000000004,0.18899999999999997,0.429,0,0.27,0.3,1,0.6759999999999999,0.64,2011-12
Zeke Upshaw,31,0.546,0.484,0.226,0.7140000000000001,0.8,0.09699999999999999,0.33299999999999996,1,0.677,0.28600000000000003,0.833,0.258,1,2011-12
Trey Blue,28.999999999999996,0.29100000000000004,0.276,0.138,0.25,0,0.138,0.25,1,0.7240000000000001,0.19,0.5,0.138,0.5,2011-12
Darious Clark,18,0.24500000000000002,0.19399999999999998,0.055999999999999994,1,0,0.444,0.125,1,0.5,0.111,1,0.278,0.6,2011-12
"BIZOUKAS,MICHAEL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1832,0.562,0.52,0.24100000000000002,0.636,0.555,0.331,0.37200000000000005,0.28300000000000003,0.42700000000000005,0.379,0.805,0.386,0.754,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
