name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
A.J. Davis,387,0.55,0.505,0.406,0.599,0.37200000000000005,0.18100000000000002,0.314,0.22699999999999998,0.413,0.331,0.8109999999999999,0.419,0.735,2011-12
Humpty Hitchens,374,0.546,0.532,0.152,0.614,0.4,0.28300000000000003,0.387,0.073,0.564,0.389,0.841,0.201,0.653,2011-12
Andrey Semenov,256,0.5710000000000001,0.5589999999999999,0.13699999999999998,0.6859999999999999,0.542,0.312,0.325,0.5,0.551,0.44,0.968,0.242,0.645,2011-12
Devon Moore,181,0.49100000000000005,0.442,0.392,0.535,0.395,0.475,0.384,0.39399999999999996,0.133,0.25,0.16699999999999998,0.392,0.718,2011-12
Enoch Hood,159,0.4750000000000001,0.45899999999999996,0.45299999999999996,0.667,0.667,0.547,0.287,0.56,0,NA,NA,0.308,0.551,2011-12
Arman Marks,123,0.505,0.47200000000000003,0.228,0.429,0.16699999999999998,0.244,0.33299999999999996,0.5,0.528,0.369,0.917,0.317,0.6920000000000001,2011-12
Julius Wells,106,0.43300000000000005,0.41,0.18899999999999997,0.45,0.444,0.292,0.29,0.111,0.519,0.309,0.8240000000000001,0.255,0.593,2011-12
Alioune Diouf,102,0.41600000000000004,0.387,0.402,0.512,0.5710000000000001,0.42200000000000004,0.326,0.5710000000000001,0.17600000000000002,0.16699999999999998,0.667,0.353,0.556,2011-12
Gene Swindle,67,0.535,0.507,0.597,0.75,0.733,0.40299999999999997,0.14800000000000002,0.5,0,NA,NA,0.537,0.611,2011-12
Trevon Flores,14.000000000000002,0.28600000000000003,0.28600000000000003,0.429,0.667,0.25,0.5710000000000001,0,NA,0,NA,NA,0,NA,2011-12
Christian Pierce,5,0.5,0.5,0.6,0.33299999999999996,1,0,NA,NA,0.4,0.5,1,0,NA,2011-12
Total,1773.9999999999998,0.519,0.49200000000000005,0.299,0.596,0.478,0.32,0.324,0.348,0.381,0.36700000000000005,0.855,0.314,0.6659999999999999,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
