name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Reggie Chamberlain,384,0.617,0.579,0.193,0.486,0.139,0.271,0.39399999999999996,0.073,0.536,0.47100000000000003,0.588,0.271,0.865,2011-12,KansasCity
Thomas Staton,219,0.49300000000000005,0.46799999999999997,0.425,0.57,0.264,0.26899999999999996,0.305,0.222,0.306,0.313,1,0.265,0.655,2011-12,KansasCity
Trinity Hall,214,0.511,0.486,0.45799999999999996,0.602,0.475,0.22399999999999998,0.25,0.5,0.318,0.324,0.909,0.397,0.612,2011-12,KansasCity
Kirk Korver,181,0.562,0.528,0.309,0.607,0.853,0.149,0.556,0.6,0.541,0.316,1,0.326,0.746,2011-12,KansasCity
Nate Rogers,145,0.542,0.524,0.414,0.633,0.316,0.166,0.33299999999999996,0,0.42100000000000004,0.32799999999999996,0.95,0.4,0.603,2011-12,KansasCity
Estan Tyler,143,0.45199999999999996,0.406,0.245,0.371,0.5379999999999999,0.322,0.196,0.111,0.434,0.387,0.875,0.287,0.7559999999999999,2011-12,KansasCity
Michael Gholston,103,0.49300000000000005,0.466,0.136,0.28600000000000003,0.25,0.184,0.263,0.2,0.68,0.371,0.6920000000000001,0.175,0.778,2011-12,KansasCity
Dustin Dibble,101,0.527,0.505,0.41600000000000004,0.643,0.593,0.17800000000000002,0.16699999999999998,0.33299999999999996,0.406,0.341,0.929,0.267,0.667,2011-12,KansasCity
Fred Chatmon,65,0.555,0.569,0.815,0.66,0.657,0.12300000000000001,0.25,0.5,0.062,0,NA,0.2,0.385,2011-12,KansasCity
Bernard Kamwa,32,0.512,0.5,0.7190000000000001,0.652,0.667,0.281,0.111,0,0,NA,NA,0.6559999999999999,0.524,2011-12,KansasCity
Brad Reid,24,0.503,0.5,0.542,0.5379999999999999,0.7140000000000001,0.45799999999999996,0.455,0.4,0,NA,NA,0.25,0.5,2011-12,KansasCity
Trevor Mason,7.000000000000001,0.533,0.5,0.5710000000000001,0.25,1,0.28600000000000003,0.5,0,0.14300000000000002,1,1,0.7140000000000001,0.6,2011-12,KansasCity
Jordan Payton,3,0.33299999999999996,0.33299999999999996,0.33299999999999996,1,0,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0,NA,2011-12,KansasCity
Total,1621,0.538,0.51,0.349,0.5710000000000001,0.467,0.23199999999999998,0.319,0.233,0.419,0.377,0.785,0.305,0.695,2011-12,KansasCity
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,KansasCity
