name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Sean Carter,35,0.183,0.152,0.515,0.077,0,0,2011-12,Massachusetts
Maxie Esho,26,0.222,0.2,0.5,0.095,0.062,0.25,2011-12,Massachusetts
Terrell Vinson,23,0.17600000000000002,0.215,0.636,0.013999999999999999,0,0,2011-12,Massachusetts
Raphiael Putney,19,0.14800000000000002,0.159,0.688,0.062,0,0,2011-12,Massachusetts
Cady Lalanne,9,0.2,0.207,0.667,0,0,NA,2011-12,Massachusetts
Jesse Morgan,9,0.08900000000000001,0.098,0.625,0.012,0,0,2011-12,Massachusetts
Javorn Farrell,9,0.09,0.071,0.375,0.018000000000000002,0,0,2011-12,Massachusetts
Chaz Williams,8,0.024,0.02,0.4,0.025,0,0,2011-12,Massachusetts
Sampson Carter,3,0.12,0.17600000000000002,1,0,0,NA,2011-12,Massachusetts
Freddie Riley,3,0.059000000000000004,0.05,0.5,0,0,NA,2011-12,Massachusetts
Total,144,0.127,0.13,0.57,0.03,0.006,0.067,2011-12,Massachusetts
