name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Reggie Spencer,19,0.19,0.21,0.684,0,0,NA,2011-12,Northeastern
Quincy Ford,13,0.10800000000000001,0.12300000000000001,0.778,0.043,0.062,0.5,2011-12,Northeastern
Alwayne Bigby,11,0.191,0.12,0.33299999999999996,0.067,0,0,2011-12,Northeastern
Ryan Pierson,7,0.3,0.111,0.16699999999999998,0.038,0,0,2011-12,Northeastern
Kashief Edwards,7,0.078,0.098,0.8,0.026000000000000002,0.05,0.5,2011-12,Northeastern
Kauri Black,7,0.08199999999999999,0.043,0.28600000000000003,0,0,NA,2011-12,Northeastern
Joel Smith,6,0.036000000000000004,0.055999999999999994,1,0.051,0.115,0.75,2011-12,Northeastern
Jonathan Lee,5,0.028999999999999998,0.033,0.667,0.02,0.025,0.5,2011-12,Northeastern
Demetrius Pollard,2,0.25,0,0,0,0,NA,2011-12,Northeastern
Marco Banegas-Flores,1,0.053,0,0,0,NA,NA,2011-12,Northeastern
Alex Bates,1,0.33299999999999996,0,0,NA,NA,NA,2011-12,Northeastern
Total,79,0.109,0.09699999999999999,0.531,0.03,0.044000000000000004,0.467,2011-12,Northeastern
