name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Ryan Nicholas,274,0.554,0.518,0.31,0.647,0.618,0.609,0.449,0.48,0.08,0.364,1,0.369,0.723,2011-12
Nemanja Mitrovic,247.00000000000003,0.4670000000000001,0.439,0.11699999999999999,0.552,0.562,0.304,0.33299999999999996,0.48,0.579,0.315,0.667,0.138,0.853,2011-12
Kevin Bailey,223,0.543,0.489,0.278,0.597,0.18899999999999997,0.41700000000000004,0.387,0.25,0.305,0.353,0.875,0.444,0.758,2011-12
Tim Douglas,200,0.543,0.475,0.33,0.5760000000000001,0.132,0.385,0.429,0.061,0.285,0.281,0.75,0.435,0.828,2011-12
VAN,175,0.56,0.537,0.446,0.6920000000000001,0.685,0.5539999999999999,0.41200000000000003,0.575,0,NA,NA,0.474,0.627,2011-12
Tanner Riley,166,0.508,0.49700000000000005,0.066,0.727,0.75,0.319,0.415,0.545,0.614,0.34299999999999997,0.7709999999999999,0.054000000000000006,0.889,2011-12
David Carr,120,0.45199999999999996,0.45799999999999996,0.2,0.583,0.35700000000000004,0.275,0.242,0.125,0.525,0.349,0.909,0.10800000000000001,0.308,2011-12
Dorian Cason,117,0.485,0.44,0.256,0.667,0.55,0.39299999999999996,0.326,0.6,0.35,0.268,0.818,0.53,0.629,2011-12
Derrick Rodgers,96,0.501,0.44299999999999995,0.32299999999999995,0.581,0.33299999999999996,0.635,0.377,0.13,0.042,0.25,1,0.5,0.708,2011-12
John Bailey,23,0.47000000000000003,0.435,0.522,0.667,0.75,0.435,0.2,0.5,0.043,0,NA,0.522,0.583,2011-12
Eric Waterford,18,0.443,0.33299999999999996,0.33299999999999996,0.667,0.5,0.556,0.2,0,0.111,0,NA,0.667,0.75,2011-12
Korey Thieleke,17,0.251,0.235,0.235,0.75,0.667,0.588,0.1,0,0.17600000000000002,0,NA,0.11800000000000001,0.5,2011-12
Riley Barker,14.000000000000002,0.404,0.28600000000000003,0.214,0.667,0.5,0.7859999999999999,0.182,0.5,0,NA,NA,0.5,0.857,2011-12
Taylor Mossman,1,0.256,0,0,NA,NA,0,NA,NA,1,0,NA,2,0.5,2011-12
"ATANGA,YANNICK",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
"CARLINO,MATT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1691,0.514,0.475,0.261,0.628,0.473,0.439,0.382,0.384,0.3,0.32,0.79,0.33799999999999997,0.718,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
