name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Quinton Doggett,27,0.171,0.18600000000000003,0.684,0.044000000000000004,0.069,0.625,2011-12
Madut Bol,8,0.154,0.133,0.5,0.125,0.222,0.5,2011-12
Frederick Coleman,7,0.09300000000000001,0.127,1,0,0,NA,2011-12
Derick Beltran,6,0.043,0.05,0.667,0.015,0.019,0.5,2011-12
Cameron Monroe,1,0.024,0.045,1,0,0,NA,2011-12
Michael Celestin,1,0,0,NA,0,0,NA,2011-12
Jameel Grace,1,0,0,NA,0.01,0.034,1,2011-12
Russell Hill,1,0,0,NA,0.021,0,0,2011-12
Neal Webb,1,0,0,NA,0.071,0.16699999999999998,1,2011-12
Total,53,0.07400000000000001,0.09,0.735,0.025,0.043,0.588,2011-12
