name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Ramone Moore,458,0.528,0.488,0.299,0.584,0.462,0.376,0.337,0.293,0.325,0.38299999999999995,0.772,0.303,0.763,2011-12
Khaliff Wyatt,338,0.627,0.5579999999999999,0.305,0.621,0.281,0.281,0.474,0.111,0.414,0.379,0.792,0.5329999999999999,0.856,2011-12
Juan Fernandez,308,0.534,0.51,0.075,0.696,0.25,0.429,0.318,0.095,0.49700000000000005,0.431,0.818,0.166,0.804,2011-12
Rahlir Hollis-Jefferson,217,0.5730000000000001,0.5670000000000001,0.585,0.701,0.607,0.41,0.382,0.794,0.005,0,NA,0.401,0.575,2011-12
Aaron Brown,157,0.597,0.589,0.312,0.633,0.903,0.08900000000000001,0.214,0.33299999999999996,0.599,0.415,0.9740000000000001,0.185,0.655,2011-12
Micheal Eric,144,0.529,0.521,0.604,0.621,0.537,0.396,0.368,0.5710000000000001,0,NA,NA,0.257,0.568,2011-12
Anthony Lee,127,0.522,0.504,0.8109999999999999,0.5529999999999999,0.667,0.18899999999999997,0.292,0.7140000000000001,0,NA,NA,0.41700000000000004,0.585,2011-12
Tj DiLeo,56.00000000000001,0.642,0.625,0.39299999999999996,0.727,0.688,0.161,0.778,0.7140000000000001,0.446,0.32,1,0.589,0.667,2011-12
Will Cummings,22,0.506,0.5,0.5,0.455,0.8,0.136,0,NA,0.364,0.5,1,0.636,0.5,2011-12
Jimmy McDonnell,4,0.25,0.25,0,NA,NA,0.5,0.5,1,0.5,0,NA,0,NA,2011-12
Jake Godino,3,0.51,0.833,0,NA,NA,0.33299999999999996,1,0,0.667,0.5,1,1.3330000000000002,0,2011-12
Nick Pendergast,2,1,1,1,1,1,0,NA,NA,0,NA,NA,0,NA,2011-12
"PLUMLEE,MASON",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1836,0.5630000000000001,0.531,0.36200000000000004,0.623,0.5429999999999999,0.326,0.366,0.35200000000000004,0.313,0.397,0.838,0.342,0.7190000000000001,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
