name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Anthony James,380,0.47600000000000003,0.43200000000000005,0.174,0.5760000000000001,0.237,0.5760000000000001,0.32899999999999996,0.16699999999999998,0.25,0.379,0.667,0.287,0.7609999999999999,2011-12,UNI
Johnny Moran,231.99999999999997,0.505,0.485,0.16399999999999998,0.5,0.42100000000000004,0.18100000000000002,0.33299999999999996,0.28600000000000003,0.655,0.349,0.943,0.177,0.7070000000000001,2011-12,UNI
Marc Sonnen,220.00000000000003,0.598,0.5770000000000001,0.12300000000000001,0.667,0.389,0.282,0.355,0.364,0.595,0.44299999999999995,0.897,0.245,0.741,2011-12,UNI
Jake Koch,215,0.533,0.465,0.172,0.622,0.217,0.302,0.354,0.391,0.526,0.319,0.861,0.484,0.7879999999999999,2011-12,UNI
Deon Mitchell,197,0.505,0.45399999999999996,0.5579999999999999,0.46399999999999997,0.078,0.157,0.226,0,0.284,0.375,0.5710000000000001,0.41100000000000003,0.728,2011-12,UNI
Seth Tuttle,181,0.6749999999999999,0.6629999999999999,0.785,0.732,0.596,0.166,0.33299999999999996,0.6,0.05,0.444,0.25,0.696,0.675,2011-12,UNI
Chip Rank,139,0.654,0.633,0.201,0.821,0.478,0.19399999999999998,0.29600000000000004,0.375,0.604,0.452,0.895,0.302,0.762,2011-12,UNI
Matt Morrison,90,0.536,0.511,0.3,0.444,0.083,0.21100000000000002,0.21100000000000002,0,0.489,0.455,0.8,0.122,0.909,2011-12,UNI
Austin Pehl,65,0.4670000000000001,0.431,0.262,0.647,0.727,0.738,0.354,0.235,0,NA,NA,0.462,0.6,2011-12,UNI
Max Martino,14.000000000000002,0.33399999999999996,0.321,0.14300000000000002,1,0.5,0.429,0.16699999999999998,1,0.429,0.16699999999999998,1,0.14300000000000002,0.5,2011-12,UNI
Marvin Singleton,13,0.436,0.462,0.5379999999999999,0.7140000000000001,0.4,0.462,0.16699999999999998,0,0,NA,NA,0.308,0.25,2011-12,UNI
Tyler Lange,6,0.386,0.33299999999999996,0.33299999999999996,1,0,0.5,0,NA,0.16699999999999998,0,NA,0.16699999999999998,1,2011-12,UNI
"ENNIS,DYLAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,UNI
"RYAN,COLT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,UNI
Total,1752,0.543,0.507,0.287,0.612,0.38299999999999995,0.318,0.321,0.263,0.39399999999999996,0.386,0.828,0.345,0.7290000000000001,2011-12,UNI
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,UNI
