name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Jeffery Taylor,24,0.12300000000000001,0.136,0.75,0.027999999999999997,0.028999999999999998,0.33299999999999996,2011-12
Festus Ezeli,22,0.151,0.154,0.75,0.102,0,0,2011-12
Lance Goulbourne,20,0.153,0.18600000000000003,0.765,0.048,0.059000000000000004,0.33299999999999996,2011-12
Steve Tchiengang,11,0.16699999999999998,0.094,0.375,0.13,0.2,0.33299999999999996,2011-12
Rod Odom,11,0.348,0.35700000000000004,0.625,0.214,1,0.33299999999999996,2011-12
John Jenkins,4,0,0,NA,0.022000000000000002,0.027999999999999997,0.5,2011-12
Josh Henderson,3,0.33299999999999996,0.4,1,0.091,0,0,2011-12
Brad Tinsley,1,0,0,NA,0.013999999999999999,0.033,1,2011-12
James Siakam,1,0.25,0.5,1,0,NA,NA,2011-12
Kedren Johnson,1,0,0,NA,0.034,0,0,2011-12
Total,98,0.11199999999999999,0.12,0.708,0.047,0.039,0.261,2011-12
