name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tony Wroten,46,0.11599999999999999,0.16399999999999998,0.815,0.11900000000000001,0.2,0.579,2011-12
Aziz N'Diaye,40,0.237,0.21,0.565,0.163,0.27899999999999997,0.706,2011-12
Desmond Simmons,33,0.34299999999999997,0.304,0.583,0.28800000000000003,0.36,0.474,2011-12
Darnell Gant,32,0.314,0.324,0.75,0.193,0.22899999999999998,0.5,2011-12
Terrence Ross,24,0.172,0.183,0.733,0.048,0.036000000000000004,0.33299999999999996,2011-12
C.J. Wilcox,8,0.11900000000000001,0.087,0.4,0.008,0.018000000000000002,1,2011-12
Martin Breunig,5,0.308,0.444,1,0.1,0,0,2011-12
Abdul Gaddy,5,0.047,0.027000000000000003,0.33299999999999996,0.02,0.028999999999999998,0.5,2011-12
Austin Seferian-Jenkins,4,0.25,0,0,0.111,0,0,2011-12
Shawn Kemp,4,0.133,0.154,1,0.14300000000000002,0.33299999999999996,0.5,2011-12
Brendan Sherrer,1,0,NA,NA,0.5,NA,0,2011-12
Total,202,0.168,0.183,0.6729999999999999,0.10099999999999999,0.133,0.523,2011-12
