name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Damian Lillard,495,0.635,0.562,0.358,0.599,0.17,0.17800000000000002,0.35200000000000004,0.226,0.465,0.409,0.574,0.519,0.887,2011-12
Scott Bamforth,305,0.622,0.5660000000000001,0.14800000000000002,0.511,0.174,0.223,0.5,0.353,0.63,0.401,0.8440000000000001,0.39299999999999996,0.875,2011-12
Kyle Tresnak,236,0.5700000000000001,0.542,0.445,0.733,0.545,0.555,0.389,0.451,0,NA,NA,0.39,0.685,2011-12
Byron Fulton,196,0.55,0.541,0.19399999999999998,0.632,0.5,0.37799999999999995,0.37799999999999995,0.179,0.429,0.429,1,0.133,0.654,2011-12
Kyle Bullinger,134,0.463,0.42200000000000004,0.231,0.581,0.278,0.254,0.20600000000000002,0.28600000000000003,0.515,0.304,0.9520000000000001,0.321,0.698,2011-12
Gelaun Wheelwright,124,0.528,0.49200000000000005,0.226,0.7859999999999999,0.455,0.21,0.231,0,0.565,0.314,0.909,0.226,0.821,2011-12
Jordan Richardson,122,0.511,0.488,0.12300000000000001,0.4,0.33299999999999996,0.295,0.278,0.5,0.5820000000000001,0.408,0.9309999999999999,0.156,0.789,2011-12
Darin Mahoney,97,0.5670000000000001,0.526,0.557,0.593,0.688,0.423,0.46299999999999997,0.789,0.021,0,NA,0.381,0.757,2011-12
Frank Otis,36,0.696,0.6940000000000001,0.6940000000000001,0.8,0.3,0.306,0.455,0,0,NA,NA,0.5,0.667,2011-12
James Hajek,36,0.591,0.528,0.444,0.688,0.273,0.556,0.4,0.375,0,NA,NA,0.41700000000000004,0.867,2011-12
Mike Brown,16,0.69,0.688,0.125,1,1,0.25,0,NA,0.625,0.6,0.833,0.375,0.667,2011-12
"PARKER,RENADO",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12
Total,1797,0.586,0.5379999999999999,0.298,0.636,0.37,0.297,0.373,0.36200000000000004,0.405,0.391,0.7959999999999999,0.368,0.8140000000000001,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
