name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Toure' Murry,332,0.507,0.446,0.295,0.622,0.311,0.536,0.354,0.19,0.16899999999999998,0.28600000000000003,0.812,0.401,0.789,2011-12
Garrett Stutz,297,0.605,0.5589999999999999,0.539,0.65,0.5,0.35,0.452,0.511,0.111,0.303,1,0.377,0.821,2011-12
Joe Ragland,264,0.704,0.68,0.379,0.72,0.20800000000000002,0.17800000000000002,0.40399999999999997,0.105,0.44299999999999995,0.504,0.763,0.326,0.8140000000000001,2011-12
Ben Smith,254.99999999999997,0.5660000000000001,0.545,0.196,0.76,0.605,0.235,0.28300000000000003,0.529,0.569,0.386,0.982,0.251,0.703,2011-12
David Kyles,231,0.559,0.53,0.16899999999999998,0.7440000000000001,0.586,0.147,0.324,0.091,0.684,0.348,0.782,0.195,0.8220000000000001,2011-12
Carl Hall,187,0.593,0.5720000000000001,0.535,0.71,0.634,0.465,0.414,0.5,0,NA,NA,0.513,0.6459999999999999,2011-12
Demetric Williams,134,0.587,0.534,0.284,0.684,0.34600000000000003,0.313,0.405,0.17600000000000002,0.40299999999999997,0.35200000000000004,0.9470000000000001,0.34299999999999997,0.87,2011-12
Tekele Cotton,65,0.587,0.569,0.354,0.565,0.385,0.292,0.632,0.41700000000000004,0.354,0.348,1,0.431,0.643,2011-12
Jake White,38,0.45599999999999996,0.434,0.263,0.7,0.5710000000000001,0.395,0.33299999999999996,0.2,0.342,0.231,1,0.447,0.529,2011-12
Ehimen Orukpe,30,0.506,0.5,0.6,0.556,0.9,0.4,0.41700000000000004,0.4,0,NA,NA,0.667,0.5,2011-12
Evan Wessel,26,0.39,0.40399999999999997,0.192,0.8,0.5,0.308,0.25,0.5,0.5,0.231,1,0.077,0,2011-12
James Anacreon,22,0.494,0.5,0.591,0.6920000000000001,0.667,0.318,0.28600000000000003,1,0.091,0,NA,0.318,0.429,2011-12
Randall Vautravers,11,0.318,0.318,0.273,0.667,0,0.182,0,NA,0.545,0.16699999999999998,1,0,NA,2011-12
Total,1892.0000000000002,0.5770000000000001,0.5429999999999999,0.34700000000000003,0.679,0.462,0.325,0.384,0.33899999999999997,0.32799999999999996,0.371,0.865,0.34700000000000003,0.748,2011-12
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12
