name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Quinn McDowell,323,0.534,0.491,0.22,0.5770000000000001,0.439,0.248,0.36200000000000004,0.276,0.5329999999999999,0.34299999999999997,0.8140000000000001,0.33399999999999996,0.769,2011-12,William&Mary
Marcus Thornton,318,0.47600000000000003,0.429,0.27,0.442,0.105,0.384,0.35200000000000004,0.047,0.34600000000000003,0.336,0.541,0.365,0.7070000000000001,2011-12,William&Mary
Brandon Britt,250,0.47200000000000003,0.41600000000000004,0.47600000000000003,0.521,0.258,0.16,0.225,0.222,0.364,0.242,1,0.456,0.693,2011-12,William&Mary
Tim Rusthoven,200,0.5660000000000001,0.545,0.705,0.66,0.602,0.28,0.28600000000000003,0.625,0.015,0,NA,0.385,0.649,2011-12,William&Mary
Matt Rum,165,0.552,0.527,0.248,0.585,0.292,0.133,0.273,0.16699999999999998,0.618,0.373,0.868,0.20600000000000002,0.765,2011-12,William&Mary
Julian Boatner,141,0.457,0.433,0.099,0.5710000000000001,0.75,0.078,0.182,1,0.823,0.293,0.971,0.135,0.789,2011-12,William&Mary
Kendrix Brown,110.00000000000001,0.492,0.46399999999999997,0.273,0.5670000000000001,0.47100000000000003,0.22699999999999998,0.28,0,0.5,0.327,0.889,0.209,0.7390000000000001,2011-12,William&Mary
Fred Heldring,46,0.514,0.457,0.5,0.565,0.462,0.348,0.312,0.4,0.152,0.28600000000000003,1,0.478,0.727,2011-12,William&Mary
Tom Schalk,38,0.562,0.5529999999999999,0.5529999999999999,0.762,0.688,0.368,0.35700000000000004,0.2,0.079,0,NA,0.605,0.565,2011-12,William&Mary
Andrew Pavloff,12,0.601,0.542,0.33299999999999996,0.75,0.667,0.5,0.33299999999999996,0,0.16699999999999998,0.5,1,0.667,0.75,2011-12,William&Mary
JohnMark Ludwick,12,0.5790000000000001,0.542,0.16699999999999998,1,0,0.083,0,NA,0.75,0.33299999999999996,1,0.16699999999999998,1,2011-12,William&Mary
Doug Howard,10,0.28600000000000003,0.3,0.6,0.5,0.33299999999999996,0.2,0,NA,0.2,0,NA,0.1,0,2011-12,William&Mary
Ben Whitlatch,7.000000000000001,0.8570000000000001,0.857,0,NA,NA,0,NA,NA,1,0.5710000000000001,1,0,NA,2011-12,William&Mary
"HARKLESS,MOE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,William&Mary
"DAVIS,AJ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-12,William&Mary
Total,1632,0.51,0.47200000000000003,0.342,0.573,0.42200000000000004,0.242,0.314,0.226,0.41600000000000004,0.321,0.835,0.335,0.711,2011-12,William&Mary
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,William&Mary
