name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Andre Jones,421,0.536,0.495,0.309,0.623,0.358,0.321,0.35600000000000004,0.312,0.371,0.34,0.8109999999999999,0.28300000000000003,0.7979999999999999,2011-12,Winthrop
Reggie Middleton,367,0.48400000000000004,0.446,0.259,0.579,0.127,0.373,0.27699999999999997,0.132,0.368,0.348,0.723,0.313,0.7040000000000001,2011-12,Winthrop
Matt Morgan,238,0.48700000000000004,0.456,0.307,0.6709999999999999,0.449,0.5920000000000001,0.369,0.635,0.10099999999999999,0.20800000000000002,1,0.311,0.662,2011-12,Winthrop
George Valentine,216,0.536,0.532,0.491,0.6890000000000001,0.534,0.509,0.382,0.5710000000000001,0,NA,NA,0.34299999999999997,0.527,2011-12,Winthrop
Gideon Gamble,129,0.42200000000000004,0.41100000000000003,0.109,0.7859999999999999,0.364,0.38,0.306,0.267,0.512,0.273,0.556,0.078,0.7,2011-12,Winthrop
Joab Jerome,110.00000000000001,0.477,0.405,0.4,0.43200000000000005,0.158,0.418,0.457,0.381,0.182,0.15,0.667,0.564,0.71,2011-12,Winthrop
Andre Smith,102,0.443,0.436,0.078,0.5,0.25,0.225,0.391,0,0.696,0.29600000000000004,0.47600000000000003,0.10800000000000001,0.545,2011-12,Winthrop
James Bourne,71,0.49499999999999994,0.465,0.563,0.6,0.583,0.43700000000000006,0.29,0.33299999999999996,0,NA,NA,0.648,0.565,2011-12,Winthrop
Derrick Henry,49,0.483,0.469,0.204,0.6,0.5,0.306,0.133,0.5,0.49,0.41700000000000004,0.9,0.38799999999999996,0.526,2011-12,Winthrop
Larry Brown,41,0.42200000000000004,0.46299999999999997,0.488,0.7,0.7140000000000001,0.46299999999999997,0.263,0.4,0.049,0,NA,0.268,0.091,2011-12,Winthrop
Reggie King,22,0.33199999999999996,0.22699999999999998,0.5,0.364,0.5,0.409,0.111,0,0.091,0,NA,0.636,0.643,2011-12,Winthrop
Shola Diop,15,0.616,0.667,0.33299999999999996,0.6,0.33299999999999996,0.667,0.7,0.429,0,NA,NA,0.4,0.33299999999999996,2011-12,Winthrop
Derrick Scott,6,0.5,0.5,0.33299999999999996,1,0.5,0.33299999999999996,0.5,0,0.33299999999999996,0,NA,0,NA,2011-12,Winthrop
Tobias Pinson,3,0.633,0.667,0.33299999999999996,1,1,0.33299999999999996,1,1,0.33299999999999996,0,NA,0.667,0.5,2011-12,Winthrop
Justin Burton,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2011-12,Winthrop
Chris Brown,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,1,0,2011-12,Winthrop
Total,1793,0.494,0.46399999999999997,0.312,0.619,0.396,0.406,0.345,0.39399999999999996,0.282,0.31,0.72,0.315,0.6559999999999999,2011-12,Winthrop
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2011-12,Winthrop
