name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Jahii Carson,488,0.552,0.507,0.428,0.569,0.10099999999999999,0.361,0.449,0.10099999999999999,0.21100000000000002,0.32,0.727,0.424,0.7340000000000001,2012-13
Carrick Felix,378,0.586,0.569,0.447,0.657,0.532,0.185,0.371,0.462,0.368,0.374,0.9620000000000001,0.32299999999999995,0.664,2012-13
Evan Gordon,297,0.527,0.493,0.20199999999999999,0.6,0.25,0.205,0.311,0.42100000000000004,0.593,0.34700000000000003,0.902,0.276,0.7440000000000001,2012-13
Jonathan Gilling,286,0.552,0.5379999999999999,0.091,0.615,0.43799999999999994,0.10800000000000001,0.387,0.16699999999999998,0.8009999999999999,0.36700000000000005,0.9520000000000001,0.168,0.688,2012-13
Jordan Bachynski,229.99999999999997,0.592,0.583,0.6609999999999999,0.6509999999999999,0.737,0.33899999999999997,0.449,0.7140000000000001,0,NA,NA,0.539,0.597,2012-13
Chris Colvin,149,0.44600000000000006,0.446,0.483,0.444,0.312,0.188,0.429,0.083,0.32899999999999996,0.306,1,0.47700000000000004,0.423,2012-13
Ruslan Pateev,60,0.587,0.583,0.5329999999999999,0.7190000000000001,0.609,0.467,0.429,0.5,0,NA,NA,0.317,0.579,2012-13
Eric Jacobsen,41,0.498,0.488,0.6829999999999999,0.643,0.778,0.317,0.154,1,0,NA,NA,0.732,0.5,2012-13
Bo Barnes,23,0.266,0.261,0.087,0,NA,0.174,0,NA,0.7390000000000001,0.235,1,0.13,0.33299999999999996,2012-13
Kenny Martin,11,0.22699999999999998,0.22699999999999998,0.182,0.5,0,0.091,0,NA,0.727,0.125,1,0,NA,2012-13
Jarrett Upchurch,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2012-13
Total,1964,0.546,0.523,0.38299999999999995,0.605,0.435,0.249,0.402,0.325,0.368,0.34600000000000003,0.9159999999999999,0.359,0.649,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
