name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
BJ Young,401,0.509,0.48,0.506,0.66,0.358,0.21899999999999997,0.239,0.14300000000000002,0.27399999999999997,0.22699999999999998,0.76,0.317,0.669,2012-13
Marshawn Powell,359,0.548,0.525,0.423,0.684,0.5479999999999999,0.359,0.341,0.43200000000000005,0.217,0.34600000000000003,0.778,0.373,0.642,2012-13
Hunter Mickelson,166,0.49300000000000005,0.473,0.45799999999999996,0.75,0.684,0.5,0.24100000000000002,0.55,0.042,0.14300000000000002,1,0.12,0.8,2012-13
Mardracus Wade,163,0.516,0.46,0.233,0.6579999999999999,0.4,0.135,0.22699999999999998,0.2,0.632,0.29100000000000004,0.833,0.49700000000000005,0.716,2012-13
Coty Clarke,148,0.602,0.544,0.486,0.6940000000000001,0.6,0.385,0.298,0.529,0.128,0.474,0.889,0.682,0.743,2012-13
Michael Qualls,137,0.453,0.423,0.35,0.708,0.441,0.45299999999999996,0.242,0.8,0.19699999999999998,0.222,0.833,0.336,0.609,2012-13
Anthlon Bell,131,0.47000000000000003,0.45399999999999996,0.053,0.7140000000000001,0.8,0.153,0.25,0.8,0.794,0.317,0.9390000000000001,0.084,0.818,2012-13
Rickey Scott,120,0.4670000000000001,0.45399999999999996,0.38299999999999995,0.565,0.26899999999999996,0.358,0.27899999999999997,0.33299999999999996,0.258,0.355,0.909,0.467,0.5,2012-13
Rashad Madden,92,0.557,0.505,0.326,0.8,0.41700000000000004,0.293,0.444,0.16699999999999998,0.38,0.2,0.7140000000000001,0.565,0.7120000000000001,2012-13
Jacorey Williams,90,0.503,0.467,0.267,0.833,0.6,0.522,0.34,0.5,0.21100000000000002,0.21100000000000002,0.75,0.244,0.773,2012-13
Kikko Haydar,84,0.548,0.542,0.06,0.4,0,0.11900000000000001,0.3,0.33299999999999996,0.821,0.391,0.963,0.20199999999999999,0.588,2012-13
Fred Gulley III,32,0.41400000000000003,0.391,0.125,0.5,0,0.312,0.3,0.33299999999999996,0.562,0.278,1,0.43799999999999994,0.5,2012-13
Dequavious Wagner,28.000000000000004,0.45399999999999996,0.39299999999999996,0.179,0.4,0,0.179,0,NA,0.643,0.33299999999999996,1,0.214,1,2012-13
Davion Spivey,5,0.4,0.4,0.6,0.33299999999999996,1,0.4,0.5,1,0,NA,NA,0,NA,2012-13
Charlie Henderson,4,0.375,0.375,0.25,0,NA,0.5,0,NA,0.25,1,1,0,NA,2012-13
"GORDON,EVAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13
Total,1960.0000000000002,0.516,0.484,0.364,0.6809999999999999,0.479,0.31,0.287,0.43700000000000006,0.326,0.3,0.865,0.35100000000000003,0.672,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
