name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Jordon Crawford,459,0.479,0.451,0.261,0.5579999999999999,0.19399999999999998,0.368,0.349,0.271,0.37,0.318,0.611,0.187,0.7559999999999999,2012-13
A'Uston Calhoun,412,0.514,0.47,0.32799999999999996,0.637,0.581,0.529,0.349,0.5529999999999999,0.14300000000000002,0.35600000000000004,0.905,0.301,0.782,2012-13
Chauncey Orr,183,0.5630000000000001,0.514,0.415,0.632,0.41700000000000004,0.213,0.256,0.1,0.37200000000000005,0.353,1,0.355,0.815,2012-13
Richaun Holmes,139,0.636,0.633,0.6829999999999999,0.716,0.515,0.302,0.47600000000000003,0.7,0.013999999999999999,0,NA,0.36,0.62,2012-13
Luke Kraus,132,0.4300000000000001,0.386,0.098,0.308,0.25,0.25,0.424,0.5,0.652,0.256,0.8640000000000001,0.303,0.7,2012-13
Cameron Black,106,0.466,0.48100000000000004,0.387,0.634,0.5,0.613,0.385,0.28,0,NA,NA,0.198,0.28600000000000003,2012-13
Anthony Henderson,104,0.43100000000000005,0.39399999999999996,0.154,0.562,0.444,0.34600000000000003,0.306,0.545,0.5,0.26899999999999996,1,0.28800000000000003,0.667,2012-13
Jehvon Clarke,101,0.4070000000000001,0.386,0.188,0.632,0.33299999999999996,0.41600000000000004,0.214,0.222,0.396,0.3,0.667,0.099,0.8,2012-13
Craig Sealey,85,0.44200000000000006,0.39399999999999996,0.518,0.636,0.5710000000000001,0.38799999999999996,0.121,0.25,0.094,0.125,1,0.447,0.632,2012-13
James Erger,42,0.524,0.5,0.214,0.556,0.4,0.16699999999999998,0.5710000000000001,0.5,0.619,0.308,1,0.14300000000000002,0.833,2012-13
Spencer Parker,26,0.379,0.308,0.5770000000000001,0.4,0.33299999999999996,0.34600000000000003,0.222,0,0.077,0,NA,0.462,0.667,2012-13
Damarkeo Lyshe,6,0.7909999999999998,0.833,0.5,0.667,0.5,0,NA,NA,0.5,0.667,1,0.33299999999999996,0.5,2012-13
"HOLT,RANDAL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13
Total,1795,0.496,0.46399999999999997,0.326,0.616,0.446,0.386,0.33799999999999997,0.419,0.287,0.306,0.81,0.27,0.715,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
