name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Mike Muscala,446,0.5750000000000001,0.513,0.43700000000000006,0.662,0.434,0.527,0.4,0.5429999999999999,0.036000000000000004,0.25,1,0.509,0.789,2012-13,Bucknell
Cameron Ayers,330,0.5730000000000001,0.547,0.145,0.521,0.28,0.44799999999999995,0.514,0.289,0.406,0.396,0.868,0.233,0.7659999999999999,2012-13,Bucknell
Joe Willman,313,0.527,0.495,0.259,0.642,0.596,0.735,0.44799999999999995,0.777,0.006,0,NA,0.185,0.845,2012-13,Bucknell
Bryson Johnson,272,0.583,0.531,0.125,0.324,0,0.19899999999999998,0.444,0.083,0.6759999999999999,0.397,0.8079999999999999,0.39,0.821,2012-13,Bucknell
Ryan Frazier,98,0.395,0.34700000000000003,0.153,0.467,0.14300000000000002,0.235,0.391,0.222,0.612,0.2,0.917,0.316,0.677,2012-13,Bucknell
Ryan Hill,81,0.4690000000000001,0.451,0.593,0.521,0.28,0.198,0.25,0.5,0.21,0.294,1,0.556,0.511,2012-13,Bucknell
Steven Kaspar,75,0.4670000000000001,0.46,0.547,0.46299999999999997,0.316,0.33299999999999996,0.44,0.364,0.12,0.33299999999999996,1,0.387,0.483,2012-13,Bucknell
Dom Hoffman,61,0.43700000000000006,0.426,0.426,0.5379999999999999,0.643,0.574,0.34299999999999997,0.833,0,NA,NA,0.262,0.5,2012-13,Bucknell
Brian Fitzpatrick,60,0.48800000000000004,0.41700000000000004,0.5329999999999999,0.375,0.583,0.467,0.46399999999999997,0.769,0,NA,NA,0.517,0.742,2012-13,Bucknell
Ben Brackney,32,0.531,0.5,0.188,0.33299999999999996,1,0.469,0.33299999999999996,0.4,0.344,0.545,1,0.188,0.833,2012-13,Bucknell
Cory Starkey,13,0.358,0.308,0.308,0.25,1,0.6920000000000001,0.33299999999999996,1,0,NA,NA,0.385,0.6,2012-13,Bucknell
Chris Hass,13,0.631,0.5770000000000001,0.077,0,NA,0.615,0.75,0.16699999999999998,0.308,0.25,1,0.462,0.833,2012-13,Bucknell
Joshea Singleton,7.000000000000001,0.49100000000000005,0.28600000000000003,0.7140000000000001,0.4,0.5,0.14300000000000002,0,NA,0.14300000000000002,0,NA,1.571,0.727,2012-13,Bucknell
Colin Klebon,6,0.28800000000000003,0.33299999999999996,0.667,0.5,1,0.33299999999999996,0,NA,0,NA,NA,0.33299999999999996,0,2012-13,Bucknell
Matt Banas,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2012-13,Bucknell
Total,1807,0.538,0.496,0.299,0.557,0.43200000000000005,0.45899999999999996,0.434,0.525,0.242,0.358,0.86,0.361,0.742,2012-13,Bucknell
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,Bucknell
