name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Saah Nimley,415.00000000000006,0.501,0.457,0.22699999999999998,0.479,0.133,0.207,0.337,0.034,0.5660000000000001,0.32799999999999996,0.429,0.316,0.7559999999999999,2012-13,CharlestonSo.
Arlon Harper,359,0.5740000000000001,0.536,0.312,0.616,0.203,0.306,0.4,0.136,0.382,0.387,0.755,0.382,0.745,2012-13,CharlestonSo.
Jeremy Sexton,269,0.517,0.48700000000000004,0.20800000000000002,0.518,0.138,0.253,0.353,0.20800000000000002,0.539,0.359,0.885,0.21899999999999997,0.763,2012-13,CharlestonSo.
Mathiang Muo,265,0.539,0.513,0.147,0.41,0.312,0.23,0.295,0.16699999999999998,0.623,0.41200000000000003,0.809,0.20800000000000002,0.764,2012-13,CharlestonSo.
Paul Gombwer,146,0.527,0.517,0.41100000000000003,0.583,0.5429999999999999,0.308,0.33299999999999996,0.4,0.281,0.415,1,0.315,0.565,2012-13,CharlestonSo.
Cedrick Bowen,134,0.617,0.578,0.634,0.741,0.667,0.336,0.289,0.615,0.03,0.25,1,0.366,0.7959999999999999,2012-13,CharlestonSo.
Sheldon Strickland,132,0.42100000000000004,0.39799999999999996,0.273,0.444,0.43799999999999994,0.258,0.324,0.091,0.47,0.27399999999999997,0.765,0.265,0.5710000000000001,2012-13,CharlestonSo.
Allie Fullah,95,0.5740000000000001,0.589,0.705,0.701,0.745,0.295,0.321,0.33299999999999996,0,NA,NA,0.34700000000000003,0.455,2012-13,CharlestonSo.
Malcolm Bernard,53,0.48400000000000004,0.415,0.377,0.35,0.5710000000000001,0.264,0.214,0,0.358,0.42100000000000004,1,0.604,0.688,2012-13,CharlestonSo.
Matt Kennedy,32,0.518,0.45299999999999996,0.125,0.5,0,0.531,0.47100000000000003,0.125,0.344,0.273,1,0.5,0.75,2012-13,CharlestonSo.
Joe Williams,24,0.6699999999999999,0.667,0.667,0.875,0.5,0.292,0.28600000000000003,0,0.042,0,NA,0.25,0.667,2012-13,CharlestonSo.
Mitchell Deter,8,0.188,0.188,0,NA,NA,0.25,0,NA,0.75,0.16699999999999998,1,0,NA,2012-13,CharlestonSo.
Greg Dorleus,3,0.51,0.667,1,0.667,0.5,0,NA,NA,0,NA,NA,1.3330000000000002,0.25,2012-13,CharlestonSo.
Thomas Odom,2,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2012-13,CharlestonSo.
"STITT,ANTHONY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13,CharlestonSo.
"COVINGTON,DJ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13,CharlestonSo.
Total,1937,0.531,0.499,0.306,0.583,0.41700000000000004,0.268,0.33899999999999997,0.193,0.426,0.36,0.731,0.311,0.708,2012-13,CharlestonSo.
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,CharlestonSo.
