name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Z. Mason,33,0.231,0.244,0.7859999999999999,0.034,0.036000000000000004,0.4,2012-13
Drazen Zlovaric,32,0.247,0.28800000000000003,0.773,0.071,0.105,0.6,2012-13
Gee McGhee,20,0.154,0.128,0.5,0.10800000000000001,0.077,0.25,2012-13
Sam Watson,9,0.17600000000000002,0.158,0.5,0.15,0.182,0.667,2012-13
Jared Bryant,9,0.242,0.33299999999999996,0.875,0.071,0,0,2012-13
Casey Jones,9,0.179,0.2,0.7140000000000001,0.044000000000000004,0.091,0.5,2012-13
Ronrico White,5,0.053,0.069,0.667,0.03,0.045,0.5,2012-13
Lance Stokes,5,0.132,0.105,0.4,0,0,NA,2012-13
Eric Robertson,4,0.111,0.182,1,0.059000000000000004,0,0,2012-13
Martynas Bareika,3,0.086,0.111,0.667,0,0,NA,2012-13
Farad Cobb,3,0,0,NA,0.043,0.111,1,2012-13
Total,132,0.16699999999999998,0.19,0.708,0.054000000000000006,0.071,0.457,2012-13
