name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Doug McDermott,518,0.6719999999999999,0.623,0.382,0.682,0.652,0.315,0.442,0.486,0.303,0.49,0.935,0.41700000000000004,0.875,2012-13,Creighton
Austin Chatman,233,0.506,0.461,0.23199999999999998,0.35200000000000004,0.053,0.41200000000000003,0.375,0.16699999999999998,0.35600000000000004,0.42200000000000004,0.914,0.27899999999999997,0.8,2012-13,Creighton
Grant Gibbs,213,0.612,0.58,0.42700000000000005,0.736,0.22399999999999998,0.324,0.36200000000000004,0.04,0.249,0.396,0.81,0.366,0.7559999999999999,2012-13,Creighton
Gregory Echenique,210,0.6619999999999999,0.657,0.733,0.727,0.777,0.267,0.46399999999999997,0.462,0,NA,NA,0.5379999999999999,0.6459999999999999,2012-13,Creighton
Ethan Wragge,187,0.6819999999999999,0.6579999999999999,0.048,0.667,0.833,0.016,0,NA,0.9359999999999999,0.446,1,0.171,0.938,2012-13,Creighton
Jahenns Manigat,180,0.55,0.5329999999999999,0.183,0.6970000000000001,0.217,0.1,0.222,0.75,0.7170000000000001,0.35700000000000004,0.978,0.15,0.741,2012-13,Creighton
Avery Dingman,109.00000000000001,0.5700000000000001,0.555,0.11,0.667,0.25,0.128,0.214,0.667,0.7609999999999999,0.39799999999999996,0.97,0.147,0.75,2012-13,Creighton
Will Artino,82,0.633,0.6459999999999999,0.598,0.816,0.575,0.402,0.39399999999999996,0.615,0,NA,NA,0.512,0.5479999999999999,2012-13,Creighton
Josh Jones,48,0.546,0.521,0.16699999999999998,0.625,0.2,0.188,0.556,0.2,0.6459999999999999,0.32299999999999995,0.9,0.146,0.857,2012-13,Creighton
Nevin Johnson,41,0.535,0.512,0.195,0.75,0.667,0.341,0.429,0.33299999999999996,0.46299999999999997,0.316,0.833,0.39,0.625,2012-13,Creighton
Andre Yates,40,0.309,0.25,0.325,0.308,0.25,0.45,0.33299999999999996,0.33299999999999996,0.225,0,NA,0.45,0.556,2012-13,Creighton
Alex Olsen,7.000000000000001,0.6779999999999999,0.7140000000000001,0.429,0.667,1,0.429,1,0.667,0.14300000000000002,0,NA,1,0.5710000000000001,2012-13,Creighton
Geoffrey Groselle,7.000000000000001,0.506,0.5710000000000001,0.857,0.667,1,0.14300000000000002,0,NA,0,NA,NA,0.5710000000000001,0.25,2012-13,Creighton
"STORMBERG,TAYLOR",3,0.8330000000000001,0.833,0.33299999999999996,1,0,0,NA,NA,0.667,0.5,1,0,NA,2012-13,Creighton
Joe Kelling,2,0.584,1,0,NA,NA,1,1,0.5,0,NA,NA,1.5,0,2012-13,Creighton
Mogboluwaga Oginni,2,1,1,1,1,0.5,0,NA,NA,0,NA,NA,0,NA,2012-13,Creighton
Total,1882,0.612,0.5820000000000001,0.341,0.677,0.551,0.265,0.40299999999999997,0.373,0.39399999999999996,0.414,0.948,0.342,0.759,2012-13,Creighton
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,Creighton
