name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Anthony Ireland,552,0.531,0.47200000000000003,0.23199999999999998,0.516,0.242,0.455,0.386,0.155,0.313,0.376,0.369,0.368,0.823,2012-13,LMU(CA)
Ashley Hamilton,367,0.48800000000000004,0.425,0.368,0.526,0.33799999999999997,0.409,0.287,0.326,0.223,0.341,0.857,0.469,0.733,2012-13,LMU(CA)
Ayodeji Egbeyemi,231,0.513,0.496,0.26,0.7170000000000001,0.442,0.273,0.254,0.312,0.46799999999999997,0.34299999999999997,0.973,0.26,0.617,2012-13,LMU(CA)
Alex Osborne,152,0.509,0.507,0.48,0.63,0.565,0.52,0.392,0.613,0,NA,NA,0.32899999999999996,0.5,2012-13,LMU(CA)
Chase Flint,114.99999999999999,0.438,0.426,0.27,0.613,0.526,0.13,0.2,0.33299999999999996,0.6,0.261,0.889,0.087,0.7,2012-13,LMU(CA)
Nick Stover,109.00000000000001,0.436,0.39399999999999996,0.284,0.516,0.562,0.248,0.111,0.33299999999999996,0.46799999999999997,0.314,1,0.33,0.667,2012-13,LMU(CA)
Bruce English,109.00000000000001,0.34199999999999997,0.317,0.147,0.5,0.625,0.44,0.271,0.462,0.413,0.2,1,0.266,0.517,2012-13,LMU(CA)
Godwin Okonji,98,0.605,0.5710000000000001,0.816,0.638,0.5489999999999999,0.184,0.278,0.2,0,NA,NA,0.684,0.672,2012-13,LMU(CA)
Taylor Walker,81,0.455,0.426,0.321,0.423,0.182,0.247,0.35,0.429,0.43200000000000005,0.314,1,0.235,0.684,2012-13,LMU(CA)
C.J. Blackwell,46,0.4710000000000001,0.489,0.217,0.4,0.75,0.304,0.35700000000000004,0.4,0.478,0.409,0.889,0.13,0.16699999999999998,2012-13,LMU(CA)
Marin Mornar,43,0.41600000000000004,0.40700000000000003,0.395,0.353,0.33299999999999996,0.349,0.267,1,0.256,0.455,1,0.07,0.667,2012-13,LMU(CA)
Adam Drexler,12,0.324,0.25,0.25,0.667,1,0.5,0.16699999999999998,0,0.25,0,NA,0.33299999999999996,0.75,2012-13,LMU(CA)
Taj Adams,0,0.263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2012-13,LMU(CA)
Total,1914.9999999999998,0.494,0.45299999999999996,0.319,0.562,0.426,0.369,0.32299999999999995,0.311,0.313,0.331,0.753,0.34600000000000003,0.703,2012-13,LMU(CA)
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,LMU(CA)
