name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Ramon Galloway,461.00000000000006,0.561,0.521,0.226,0.615,0.43799999999999994,0.28,0.271,0.14300000000000002,0.495,0.41200000000000003,0.7020000000000001,0.275,0.8270000000000001,2012-13
Tyreek Duren,355,0.5730000000000001,0.524,0.355,0.6509999999999999,0.317,0.299,0.302,0.094,0.34600000000000003,0.39,0.8959999999999999,0.41700000000000004,0.777,2012-13
Tyrone Garland,301,0.506,0.467,0.39899999999999997,0.525,0.349,0.27899999999999997,0.44,0.10800000000000001,0.322,0.278,0.7040000000000001,0.316,0.726,2012-13
Jerrell Wright,252,0.595,0.579,0.698,0.6759999999999999,0.647,0.302,0.355,0.40700000000000003,0,NA,NA,0.47600000000000003,0.633,2012-13
Sam Mills,229.99999999999997,0.537,0.517,0.213,0.531,0.654,0.213,0.36700000000000005,0.389,0.574,0.379,0.98,0.135,0.8059999999999999,2012-13
Steve Zack,134,0.5690000000000001,0.545,0.604,0.654,0.698,0.396,0.377,0.35,0,NA,NA,0.284,0.711,2012-13
D.J. Peterson,111.00000000000001,0.5630000000000001,0.541,0.11699999999999999,0.6920000000000001,0.778,0.162,0.16699999999999998,0.667,0.721,0.4,0.9690000000000001,0.11699999999999999,0.9229999999999999,2012-13
Rohan Brown,45,0.48900000000000005,0.467,0.6,0.556,0.5329999999999999,0.244,0.273,0.667,0.156,0.28600000000000003,1,0.33299999999999996,0.6,2012-13
Taylor Dunn,28.000000000000004,0.387,0.375,0.036000000000000004,0,NA,0.107,0,NA,0.857,0.292,1,0.321,0.444,2012-13
O.J. Lewis,10,0.504,0.5,0.4,0.25,0,0.2,0.5,0,0.4,0.5,0.5,0.4,0.5,2012-13
Garvin Hunt,4,0.314,0.25,0.25,1,0,0.75,0,NA,0,NA,NA,1.25,0.4,2012-13
"SMITH,ANDREW",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13
Total,1930.9999999999998,0.552,0.519,0.364,0.617,0.513,0.27699999999999997,0.33,0.233,0.36,0.377,0.8320000000000001,0.313,0.737,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
