name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Holden Greiner,302,0.6,0.575,0.364,0.655,0.41700000000000004,0.29100000000000004,0.386,0.441,0.344,0.433,0.867,0.272,0.7559999999999999,2012-13,Lehigh
Gabe Knutson,296,0.5690000000000001,0.532,0.541,0.6,0.552,0.321,0.442,0.5,0.139,0.317,1,0.493,0.6920000000000001,2012-13,Lehigh
Mackey McKnight,273,0.551,0.48700000000000004,0.355,0.649,0.33299999999999996,0.264,0.306,0.273,0.381,0.308,0.875,0.484,0.7879999999999999,2012-13,Lehigh
C.J. McCollum,194,0.628,0.58,0.32,0.5479999999999999,0.382,0.35100000000000003,0.426,0.138,0.33,0.516,0.667,0.376,0.8490000000000001,2012-13,Lehigh
Anthony D'Orazio,191,0.48600000000000004,0.479,0.209,0.575,0.522,0.35600000000000004,0.368,0.56,0.435,0.349,0.966,0.141,0.556,2012-13,Lehigh
Stefan Cvrkalj,125,0.548,0.532,0.10400000000000001,0.6920000000000001,0.556,0.152,0.263,0.4,0.7440000000000001,0.376,0.943,0.152,0.737,2012-13,Lehigh
Corey Schaefer,112.00000000000001,0.5680000000000001,0.54,0.28600000000000003,0.5,0.5,0.28600000000000003,0.5,0.312,0.429,0.396,1,0.259,0.759,2012-13,Lehigh
B.J. Bailey,97,0.631,0.598,0.196,0.474,0.222,0.237,0.435,0.2,0.5670000000000001,0.473,0.9620000000000001,0.474,0.7390000000000001,2012-13,Lehigh
Justin Goldsborough,57.99999999999999,0.526,0.517,0.759,0.591,0.654,0.24100000000000002,0.28600000000000003,0.5,0,NA,NA,0.483,0.536,2012-13,Lehigh
Conroy Baltimore,38,0.512,0.395,0.632,0.542,0.5379999999999999,0.368,0.14300000000000002,1,0,NA,NA,0.711,0.815,2012-13,Lehigh
Cory Goodman,8,0.615,0.625,0.25,0.5,1,0.125,1,0,0.625,0.4,1,0.25,0.5,2012-13,Lehigh
Devon Carter,7.000000000000001,0.281,0.214,0.14300000000000002,0,NA,0.7140000000000001,0,NA,0.14300000000000002,1,1,0.5710000000000001,0.5,2012-13,Lehigh
Tyrone Staggers,4,0.303,0.25,0.25,0,NA,0.25,1,1,0.5,0,NA,0.5,0.5,2012-13,Lehigh
"STEVENS,JORDAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13,Lehigh
Total,1705,0.5670000000000001,0.531,0.355,0.598,0.467,0.293,0.382,0.387,0.35200000000000004,0.392,0.894,0.36200000000000004,0.737,2012-13,Lehigh
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,Lehigh
