name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Mike Allison,35,0.33299999999999996,0.33299999999999996,0.594,0.073,0.077,0.33299999999999996,2012-13,Maine
Alasdair Fraser,33,0.172,0.16699999999999998,0.613,0.015,0,0,2012-13,Maine
Justin Edwards,20,0.08900000000000001,0.081,0.529,0.027999999999999997,0.027000000000000003,0.33299999999999996,2012-13,Maine
Till Gloger,11,0.265,0.25,0.556,0.059000000000000004,0,0,2012-13,Maine
Xavier Pollard,8,0.055,0.075,0.833,0.024,0.038,0.5,2012-13,Maine
Shaun Lawton,3,0.044000000000000004,0.038,0.5,0.111,0,0,2012-13,Maine
Jon McAllian,2,0.5,0.5,0.5,0,0,NA,2012-13,Maine
"AKANDA-CORONEL,D",1,0.33299999999999996,0,0,NA,NA,NA,2012-13,Maine
Dimitry Coronel,1,0,0,NA,0.2,0.5,1,2012-13,Maine
Jon Mesghna,1,0.053,0.091,1,0,0,NA,2012-13,Maine
Leon Cooper,1,0,0,NA,0.2,NA,0,2012-13,Maine
Kilian Cato,1,0,0,NA,1,1,1,2012-13,Maine
Total,117,0.14300000000000002,0.14,0.594,0.036000000000000004,0.034,0.312,2012-13,Maine
