name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Demetrius Harris,26,0.162,0.125,0.429,0.06,0.1,0.6,2012-13,Milwaukee
James Haarsma,18,0.24600000000000002,0.235,0.5329999999999999,0.055,0.067,0.33299999999999996,2012-13,Milwaukee
Kyle Kelm,9,0.2,0.182,0.5710000000000001,0.08,0.125,0.5,2012-13,Milwaukee
J.J. Panoske,8,0.146,0.217,0.833,0.071,0,0,2012-13,Milwaukee
Paris Gulley,7,0.05,0.087,1,0.021,0.038,0.667,2012-13,Milwaukee
Jordan Aaron,6,0.032,0.027000000000000003,0.33299999999999996,0.009000000000000001,0.023,1,2012-13,Milwaukee
Ryan Haggerty,4,0.12,0.2,1,0,0,NA,2012-13,Milwaukee
Austin Arians,4,0.115,0.055999999999999994,0.33299999999999996,0.062,0,0,2012-13,Milwaukee
Christian Wolf,1,0.125,0.25,1,0,NA,NA,2012-13,Milwaukee
Quinton Gustavson,1,0.33299999999999996,0,0,NA,NA,NA,2012-13,Milwaukee
Total,84,0.128,0.131,0.5479999999999999,0.033,0.045,0.47100000000000003,2012-13,Milwaukee
