name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Isaiah Canaan,499,0.5760000000000001,0.525,0.20199999999999999,0.5539999999999999,0.125,0.289,0.451,0.10800000000000001,0.509,0.37,0.426,0.371,0.8220000000000001,2012-13
Stacy Wilson,361,0.521,0.494,0.19699999999999998,0.662,0.426,0.307,0.387,0.349,0.496,0.33,0.797,0.233,0.726,2012-13
Edward Daniel,241,0.587,0.562,0.705,0.665,0.5579999999999999,0.27399999999999997,0.318,0.524,0.021,0.2,1,0.938,0.611,2012-13
Dexter Fields,190,0.521,0.521,0.11599999999999999,0.5,0.273,0.047,0.444,0.5,0.8370000000000001,0.35200000000000004,0.9640000000000001,0.053,0.5,2012-13
Brandon Garrett,132,0.634,0.652,0.644,0.8,0.691,0.35600000000000004,0.38299999999999995,0.5,0,NA,NA,0.485,0.531,2012-13
Jeffery Moss,95,0.601,0.5529999999999999,0.147,0.5,0.28600000000000003,0.2,0.42100000000000004,0.25,0.653,0.40299999999999997,1,0.27399999999999997,0.9229999999999999,2012-13
Latreze Mushatt,70,0.44800000000000006,0.40700000000000003,0.5,0.5429999999999999,0.42100000000000004,0.257,0.278,0.6,0.243,0.17600000000000002,1,0.414,0.621,2012-13
Erik McCree,44,0.406,0.364,0.47700000000000004,0.524,0.364,0.22699999999999998,0.2,0.5,0.295,0.154,1,0.136,1,2012-13
C.J. Ford,40,0.378,0.312,0.475,0.263,0,0.275,0.273,0.33299999999999996,0.25,0.3,1,0.4,0.688,2012-13
Tyler Rambo,17,0.607,0.588,0.529,0.889,0.375,0.47100000000000003,0.25,0.5,0,NA,NA,0.647,0.636,2012-13
Terron Gillmore,13,0.65,0.615,0.615,0.75,0.33299999999999996,0.385,0.4,1,0,NA,NA,0.385,0.8,2012-13
Zay Henderson,11,0.698,0.818,0.909,0.8,0.75,0.091,1,1,0,NA,NA,0.636,0.28600000000000003,2012-13
Jordan Burge,3,0,0,0,NA,NA,0.33299999999999996,0,NA,0.667,0,NA,0,NA,2012-13
Total,1716,0.555,0.523,0.32899999999999996,0.635,0.46,0.262,0.387,0.316,0.409,0.34700000000000003,0.72,0.39,0.691,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
