name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Daniel Stewart,26,0.145,0.184,0.727,0.046,0,0,2012-13,Rider
Junior Fortunat,19,0.195,0.196,0.588,0.08,0.16699999999999998,0.5,2012-13,Rider
Shawn Valentine,10,0.259,0.28600000000000003,0.5710000000000001,0.133,0,0,2012-13,Rider
Anthony Myles,8,0.06,0.086,0.7140000000000001,0.016,0,0,2012-13,Rider
Jonathon Thompson,8,0.073,0.053,0.5,0,0,NA,2012-13,Rider
Dera Nd-Ezuma,6,0.12,0.192,0.833,0,0,NA,2012-13,Rider
Zedric Sadler,5,0.125,0.188,0.75,0.022000000000000002,0,0,2012-13,Rider
Nurideen Lindsey,4,0.036000000000000004,0.03,0.5,0,0,NA,2012-13,Rider
Khalil Alford,4,0.5,0.5,0.667,0.043,0.111,1,2012-13,Rider
Tommy Pereira,3,0.5,0.5,0.5,0,0,NA,2012-13,Rider
Jamal Nwaniemeka,1,0.5,1,1,0,0,NA,2012-13,Rider
Derrick Stewart,1,0.2,1,1,0,NA,NA,2012-13,Rider
Total,95,0.11599999999999999,0.134,0.659,0.027999999999999997,0.017,0.182,2012-13,Rider
