name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
O.D. Anosike,318,0.518,0.502,0.755,0.5539999999999999,0.39799999999999996,0.239,0.32899999999999996,0.28,0.006,0.5,1,0.613,0.544,2012-13,Siena
Evan Hymes,303,0.4750000000000001,0.431,0.228,0.406,0.036000000000000004,0.198,0.233,0.071,0.574,0.33899999999999997,0.627,0.294,0.753,2012-13,Siena
Rob Poole,273,0.522,0.48200000000000004,0.187,0.5489999999999999,0.35700000000000004,0.289,0.228,0.389,0.524,0.39899999999999997,0.912,0.326,0.742,2012-13,Siena
Rakeem Brookins,215,0.44200000000000006,0.37,0.312,0.46299999999999997,0.258,0.28800000000000003,0.32299999999999995,0.15,0.4,0.221,0.579,0.4,0.779,2012-13,Siena
Trenity Burdine,137,0.5730000000000001,0.529,0.496,0.618,0.69,0.27699999999999997,0.289,0.545,0.226,0.419,0.9229999999999999,0.431,0.746,2012-13,Siena
Rich Audu,90,0.4320000000000001,0.389,0.14400000000000002,0.308,0.75,0.311,0.25,0.429,0.544,0.327,0.938,0.16699999999999998,0.9329999999999999,2012-13,Siena
Davis Martens,87,0.45599999999999996,0.42,0.563,0.469,0.217,0.368,0.375,1,0.069,0.16699999999999998,1,0.391,0.618,2012-13,Siena
Imoh Silas,80,0.585,0.6,0.75,0.6829999999999999,0.439,0.25,0.35,0.14300000000000002,0,NA,NA,0.325,0.462,2012-13,Siena
Brett Bisping,67,0.51,0.44799999999999995,0.32799999999999996,0.5,0.636,0.26899999999999996,0.222,0.75,0.40299999999999997,0.37,1,0.358,0.833,2012-13,Siena
Ryan Oliver,41,0.441,0.439,0.049,0.5,0,0.293,0.41700000000000004,0.8,0.659,0.29600000000000004,1,0.049,0.5,2012-13,Siena
Chris Leppanen,12,0.5790000000000001,0.625,0.75,0.556,0.2,0.16699999999999998,0.5,0,0.083,1,1,0.16699999999999998,0,2012-13,Siena
Marcus Hopper,6,0.167,0.16699999999999998,0.16699999999999998,0,NA,0.33299999999999996,0.5,1,0.5,0,NA,0,NA,2012-13,Siena
Steven Cruz,2,0.808,1,0,NA,NA,1,1,0,0,NA,NA,0.5,0,2012-13,Siena
Total,1630.9999999999998,0.49899999999999994,0.461,0.39899999999999997,0.5329999999999999,0.389,0.264,0.295,0.37799999999999995,0.337,0.337,0.8,0.381,0.672,2012-13,Siena
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,Siena
