name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kyan Anderson,331,0.517,0.488,0.221,0.507,0.18899999999999997,0.299,0.424,0.14300000000000002,0.48,0.34600000000000003,0.655,0.251,0.723,2012-13,TCU
Garlon Green,308,0.45000000000000007,0.40700000000000003,0.182,0.46399999999999997,0.308,0.5579999999999999,0.34299999999999997,0.508,0.26,0.33799999999999997,0.9259999999999999,0.244,0.773,2012-13,TCU
Adrick McKinney,188,0.47200000000000003,0.447,0.521,0.531,0.5770000000000001,0.479,0.35600000000000004,0.375,0,NA,NA,0.7390000000000001,0.518,2012-13,TCU
Connell Crossland,161,0.496,0.484,0.7020000000000001,0.602,0.544,0.292,0.213,0.7,0.006,0,NA,0.547,0.511,2012-13,TCU
Devonta Abron,151,0.558,0.53,0.642,0.66,0.45299999999999996,0.358,0.29600000000000004,0.375,0,NA,NA,0.8540000000000001,0.597,2012-13,TCU
Nate Butler,148,0.438,0.409,0.284,0.5,0.524,0.466,0.29,0.4,0.25,0.35100000000000003,1,0.37799999999999995,0.5710000000000001,2012-13,TCU
Charles Hill Sr.,131,0.395,0.37799999999999995,0.17600000000000002,0.435,0.6,0.42,0.309,0.41200000000000003,0.405,0.28300000000000003,0.867,0.13,0.647,2012-13,TCU
Jarvis Ray,71,0.374,0.33799999999999997,0.366,0.5379999999999999,0.5710000000000001,0.493,0.2,0.857,0.141,0.2,1,0.35200000000000004,0.56,2012-13,TCU
Clyde Smith III,38,0.266,0.237,0.079,0,NA,0.632,0.25,0.16699999999999998,0.289,0.182,1,0.289,0.455,2012-13,TCU
Chris Zurcher,14.000000000000002,0.44,0.35700000000000004,0.14300000000000002,0,NA,0.214,0.667,0.5,0.643,0.222,1,0.28600000000000003,1,2012-13,TCU
Amric Fields,14.000000000000002,0.602,0.643,0.35700000000000004,0.8,0.25,0.429,0.833,0.8,0.214,0,NA,0.643,0.444,2012-13,TCU
Thomas Montigel,13,0.192,0.192,0,NA,NA,0.231,0.33299999999999996,1,0.769,0.1,1,0,NA,2012-13,TCU
Kemal Dincer,5,0.2,0.2,0,NA,NA,0.4,0.5,1,0.6,0,NA,0,NA,2012-13,TCU
Total,1573,0.47000000000000003,0.43799999999999994,0.342,0.55,0.46299999999999997,0.419,0.331,0.413,0.239,0.311,0.8029999999999999,0.40399999999999997,0.601,2012-13,TCU
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,TCU
