name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Kellen Thornton,39,0.21899999999999997,0.218,0.733,0.047,0.045,0.444,2012-13,TennesseeSt.
Robert Covington,27,0.209,0.226,0.667,0.067,0.086,0.429,2012-13,TennesseeSt.
M.J. Rhett,14,0.147,0.11800000000000001,0.545,0.062,0.077,0.33299999999999996,2012-13,TennesseeSt.
Jordan Cyphers,12,0.17,0.12,0.33299999999999996,0.051,0.055999999999999994,0.33299999999999996,2012-13,TennesseeSt.
Patrick Miller,7,0.046,0.053,0.75,0.02,0.036000000000000004,0.667,2012-13,TennesseeSt.
Michael Green,4,0.129,0.15,0.75,0,0,NA,2012-13,TennesseeSt.
Jay Harris,3,0.154,0.28600000000000003,1,0.033,0,0,2012-13,TennesseeSt.
Tashan Fredrick,3,0.14300000000000002,0.16699999999999998,0.5,0.05,0,0,2012-13,TennesseeSt.
Devonte McClung,1,0.14300000000000002,0,0,0,0,NA,2012-13,TennesseeSt.
Abraham Millsap,1,0.33299999999999996,0.5,1,0,NA,NA,2012-13,TennesseeSt.
Jordan Gaither,1,0.125,0,0,0,0,NA,2012-13,TennesseeSt.
Kharon Butcher,1,0,0,NA,0.16699999999999998,0,0,2012-13,TennesseeSt.
Total,113,0.153,0.153,0.639,0.042,0.044000000000000004,0.39299999999999996,2012-13,TennesseeSt.
