name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Torrey Craig,454,0.545,0.513,0.247,0.625,0.47100000000000003,0.282,0.359,0.348,0.47100000000000003,0.364,0.872,0.317,0.715,2012-13
Ty Greene,350,0.521,0.494,0.129,0.578,0.423,0.271,0.34700000000000003,0.424,0.6,0.36200000000000004,0.8420000000000001,0.3,0.6759999999999999,2012-13
Ricardo Glenn,245.00000000000003,0.585,0.588,0.812,0.643,0.664,0.188,0.348,0.375,0,NA,NA,0.429,0.5429999999999999,2012-13
Adrian Rodgers,238,0.532,0.49200000000000005,0.20199999999999999,0.7290000000000001,0.486,0.462,0.418,0.326,0.336,0.3,0.75,0.29,0.7829999999999999,2012-13
Jodd Maxey,212,0.507,0.462,0.528,0.634,0.648,0.462,0.276,0.667,0.009000000000000001,0,NA,0.392,0.711,2012-13
Fred Miller,138,0.457,0.428,0.297,0.537,0.545,0.435,0.36700000000000005,0.318,0.268,0.27,0.8,0.24600000000000002,0.6759999999999999,2012-13
Mario Blessing,112.00000000000001,0.468,0.455,0.196,0.455,0.4,0.27699999999999997,0.355,0.364,0.527,0.33899999999999997,0.8,0.205,0.565,2012-13
Babatunde Olumuyiwa,93,0.5690000000000001,0.591,0.624,0.7240000000000001,0.762,0.376,0.371,0.462,0,NA,NA,0.6990000000000001,0.47700000000000004,2012-13
Rob Elam,40,0.28500000000000003,0.275,0.25,0.6,1,0.75,0.16699999999999998,0.6,0,NA,NA,0.2,0.375,2012-13
Bruce Haynes,11,0.6689999999999999,0.682,0,NA,NA,0,NA,NA,1,0.455,0.8,0.182,0.5,2012-13
Jeremy Ford,3,0.38,0.33299999999999996,0,NA,NA,0.667,0.5,0,0.33299999999999996,0,NA,0.667,0.5,2012-13
"HORNSBY,KEITH",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-13
Total,1896,0.526,0.501,0.341,0.634,0.6,0.335,0.34600000000000003,0.405,0.324,0.34700000000000003,0.836,0.33799999999999997,0.65,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
