name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
C.J. Wilcox,480,0.534,0.49700000000000005,0.115,0.6,0.39399999999999996,0.45799999999999996,0.423,0.29,0.42700000000000005,0.366,0.853,0.23800000000000002,0.816,2012-13,Washington
Abdul Gaddy,330,0.49699999999999994,0.47100000000000003,0.27,0.652,0.345,0.485,0.375,0.15,0.245,0.309,0.72,0.276,0.659,2012-13,Washington
Scott Suggs,316,0.546,0.511,0.111,0.657,0.217,0.44,0.40299999999999997,0.179,0.449,0.387,0.745,0.196,0.871,2012-13,Washington
Aziz N'Diaye,223,0.537,0.561,0.475,0.708,0.64,0.52,0.431,0.46,0.004,0,NA,0.556,0.42700000000000005,2012-13,Washington
Andrew Andrews,204,0.48000000000000004,0.41200000000000003,0.196,0.575,0.174,0.441,0.344,0.161,0.363,0.27,0.8,0.495,0.733,2012-13,Washington
Desmond Simmons,139,0.4750000000000001,0.41,0.302,0.524,0.5,0.5760000000000001,0.325,0.462,0.122,0.353,1,0.54,0.693,2012-13,Washington
Shawn Kemp,135,0.552,0.5329999999999999,0.37,0.78,0.821,0.63,0.38799999999999996,0.636,0,NA,NA,0.311,0.643,2012-13,Washington
Jernard Jarreau,87,0.4690000000000001,0.402,0.287,0.68,0.353,0.713,0.29,0.611,0,NA,NA,0.425,0.757,2012-13,Washington
Hikeem Stewart,13,0.277,0.231,0.077,0,NA,0.5379999999999999,0.429,0.667,0.385,0,NA,0.231,0.667,2012-13,Washington
Martin Breunig,3,0.127,0,0,NA,NA,0.33299999999999996,0,NA,0.667,0,NA,0.667,0.5,2012-13,Washington
Quinn Sterling,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2012-13,Washington
Dion Overstreet,0,1.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2012-13,Washington
Total,1930.9999999999998,0.515,0.48200000000000004,0.22899999999999998,0.655,0.479,0.49700000000000005,0.385,0.324,0.273,0.34299999999999997,0.8009999999999999,0.33799999999999997,0.6829999999999999,2012-13,Washington
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13,Washington
