name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Austin Morgan,252.99999999999997,0.559,0.48200000000000004,0.17800000000000002,0.467,0.14300000000000002,0.17,0.256,0.364,0.652,0.364,0.917,0.40299999999999997,0.912,2012-13
Justin Sears,219,0.512,0.489,0.584,0.648,0.47,0.402,0.273,0.625,0.013999999999999999,0,NA,0.484,0.585,2012-13
Javier Duren,188,0.533,0.473,0.218,0.634,0.34600000000000003,0.426,0.41200000000000003,0.273,0.35600000000000004,0.299,0.65,0.40399999999999997,0.8029999999999999,2012-13
Armani Cotton,146,0.541,0.473,0.349,0.706,0.389,0.253,0.243,0.667,0.397,0.276,1,0.43799999999999994,0.828,2012-13
Matt Townsend,144,0.5720000000000001,0.535,0.451,0.523,0.647,0.5489999999999999,0.544,0.721,0,NA,NA,0.43799999999999994,0.7140000000000001,2012-13
Michael Grace,132,0.49100000000000005,0.43200000000000005,0.174,0.522,0.16699999999999998,0.47700000000000004,0.33299999999999996,0.095,0.348,0.348,0.562,0.379,0.78,2012-13
Greg Kelley,119,0.49499999999999994,0.45399999999999996,0.252,0.6,0.667,0.303,0.16699999999999998,0.667,0.445,0.377,0.95,0.235,0.821,2012-13
Jeremiah Kreisberg,118,0.52,0.49200000000000005,0.45799999999999996,0.556,0.5670000000000001,0.40700000000000003,0.45799999999999996,0.455,0.136,0.25,1,0.5,0.61,2012-13
Sam Martin,104,0.61,0.5870000000000001,0.163,0.41200000000000003,0.14300000000000002,0.125,0.231,0,0.7120000000000001,0.45899999999999996,0.882,0.25,0.769,2012-13
Brandon Sherrod,88,0.53,0.5,0.648,0.596,0.5589999999999999,0.35200000000000004,0.32299999999999995,0.8,0,NA,NA,0.7609999999999999,0.5820000000000001,2012-13
Nick Victor,55.00000000000001,0.48000000000000004,0.436,0.382,0.524,0.364,0.309,0.235,0.75,0.309,0.353,1,0.527,0.621,2012-13
Jesse Pritchard,28.999999999999996,0.387,0.32799999999999996,0.276,0.5,0.25,0.207,0.16699999999999998,0,0.517,0.2,1,0.24100000000000002,0.857,2012-13
Will Childs-Klein,14.000000000000002,0.5640000000000001,0.5710000000000001,0.5,0.857,0.667,0.35700000000000004,0.4,0.5,0.14300000000000002,0,NA,0.429,0.5,2012-13
Jack Montague,9,0.8350000000000002,0.889,0.222,1,0.5,0.111,0,NA,0.667,0.667,1,0.556,0.6,2012-13
BEDART,2,0.75,0.75,0,NA,NA,0,NA,NA,1,0.5,0,0,NA,2012-13
Total,1620,0.534,0.48700000000000004,0.33899999999999997,0.59,0.457,0.33799999999999997,0.34600000000000003,0.49200000000000005,0.32299999999999995,0.35100000000000003,0.8640000000000001,0.425,0.728,2012-13
D-I Team Averages,NA,0.542,0.504,0.38299999999999995,0.609,0.418,0.293,0.35700000000000004,0.35,0.32299999999999995,0.34299999999999997,0.8490000000000001,0.426,0.691,2012-13
