name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tony Wroblicky,18,0.087,0.10400000000000001,0.75,0.024,0.024,0.5,2013-14,American
Kyle Kager,6,0.085,0.078,0.667,0,0,NA,2013-14,American
Marko Vasic,4,0.1,0.14800000000000002,1,0,0,NA,2013-14,American
Jesse Reed,3,0.008,0,0,0.047,0.062,0.5,2013-14,American
Yilret Yiljep,2,0.095,0.077,0.5,0,NA,NA,2013-14,American
Charlie Jones,2,0.133,0.1,0.5,0,0,NA,2013-14,American
John Schoof,2,0.023,0.038,1,0.013999999999999999,0.037000000000000005,1,2013-14,American
Darius Gardner,2,0.017,0.013000000000000001,0.5,0,0,NA,2013-14,American
Zach Elcano,1,0.25,0.25,1,0,0,NA,2013-14,American
Total,40,0.055,0.062,0.7140000000000001,0.013999999999999999,0.021,0.6,2013-14,American
