name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Aaron Gordon,54,0.198,0.163,0.6,0.11199999999999999,0.114,0.278,2013-14
Kaleb Tarczewski,27,0.14300000000000002,0.11699999999999999,0.611,0.09699999999999999,0.028999999999999998,0.111,2013-14
Rondae Hollis-Jefferson,26,0.159,0.16899999999999998,0.778,0.065,0.083,0.375,2013-14
Brandon Ashley,25,0.19699999999999998,0.27699999999999997,1,0.145,0.057,0.16699999999999998,2013-14
Nick Johnson,8,0.009000000000000001,0.013999999999999999,1,0.035,0.028999999999999998,0.28600000000000003,2013-14
Gabe York,4,0.062,0,0,0.049,0,0,2013-14
Matt Korcheck,4,0.429,0.33299999999999996,0.667,0.2,0.5,1,2013-14
T.J. McConnell,3,0,0,NA,0.025,0.019,0.33299999999999996,2013-14
Elliott Pitts,2,0.25,0.33299999999999996,1,0.33299999999999996,0,0,2013-14
Jordin Mayes,2,0.077,0.125,1,0.059000000000000004,0,0,2013-14
Total,155,0.13,0.127,0.696,0.07200000000000001,0.052000000000000005,0.242,2013-14
