name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Kendall Gray,25,0.188,0.198,0.81,0.038,0.051,0.5,2013-14
Casey Walker,9,0.07,0.115,1,0.04,0.077,0.5,2013-14
Jason Owens,9,0.316,0.3,0.5,0.064,0,0,2013-14
Tyshawn Bell,9,0.105,0.073,0.5,0.033,0.057,0.667,2013-14
Jordan Lawson,6,0.33299999999999996,0.33299999999999996,0.667,0,0,NA,2013-14
Kendal Williams,5,0.057,0.1,1,0.026000000000000002,0.047,0.667,2013-14
Deandre Haywood,3,0.033,0.054000000000000006,1,0.028999999999999998,0,0,2013-14
Charles Burley,1,0.14300000000000002,0.5,1,0,0,NA,2013-14
Ashwell Boyd,1,0.14300000000000002,0.25,1,0,0,NA,2013-14
Nick Doyle,1,0.125,0.2,1,0,0,NA,2013-14
Albert Thomas,1,0.026000000000000002,0.059000000000000004,1,0,0,NA,2013-14
Total,70,0.114,0.138,0.774,0.027999999999999997,0.036000000000000004,0.43799999999999994,2013-14
