name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Michael Zangari,30,0.16,0.188,0.706,0.131,0.182,0.615,2013-14,EastCarolina
Brandan Stith,26,0.257,0.22699999999999998,0.526,0.24100000000000002,0.28600000000000003,0.28600000000000003,2013-14,EastCarolina
Caleb White,11,0.10400000000000001,0.13,0.875,0.03,0.043,0.667,2013-14,EastCarolina
Akeem Richmond,8,0.034,0.071,1,0.133,0.16699999999999998,0.5,2013-14,EastCarolina
Marshall Guilmette,5,0.273,0.25,0.33299999999999996,0.125,0.125,0.5,2013-14,EastCarolina
Prince Williams,4,0.019,0.017,0.5,0.025,0.059000000000000004,1,2013-14,EastCarolina
Antonio Robinson,3,0.054000000000000006,0.067,0.667,0,0,NA,2013-14,EastCarolina
Paris Roberts-Campbell,2,0.025,0.048,1,0,0,NA,2013-14,EastCarolina
Greg Alexander,1,1,1,1,0,0,NA,2013-14,EastCarolina
Total,90,0.102,0.11699999999999999,0.6609999999999999,0.062,0.083,0.5479999999999999,2013-14,EastCarolina
