name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Ryan Harrow,498.00000000000006,0.528,0.47600000000000003,0.45,0.607,0.213,0.341,0.32899999999999996,0.071,0.209,0.28800000000000003,0.9329999999999999,0.311,0.8390000000000001,2013-14,GeorgiaSt.
R.J. Hunter,408,0.623,0.5660000000000001,0.18100000000000002,0.662,0.469,0.19899999999999998,0.395,0.406,0.62,0.395,0.83,0.395,0.882,2013-14,GeorgiaSt.
Manny Atkins,324,0.633,0.588,0.293,0.632,0.483,0.17300000000000001,0.321,0.389,0.534,0.434,0.96,0.40399999999999997,0.8240000000000001,2013-14,GeorgiaSt.
Devonta White,283,0.559,0.489,0.27899999999999997,0.544,0.14,0.491,0.439,0.131,0.23,0.354,0.9129999999999999,0.509,0.8059999999999999,2013-14,GeorgiaSt.
Curtis Washington,160,0.657,0.6559999999999999,0.662,0.764,0.7040000000000001,0.33799999999999997,0.444,0.292,0,NA,NA,0.38799999999999996,0.629,2013-14,GeorgiaSt.
Markus Crider,85,0.511,0.494,0.718,0.59,0.5,0.282,0.25,0.667,0,NA,NA,0.318,0.593,2013-14,GeorgiaSt.
Rashaad Richardson,75,0.47800000000000004,0.48,0.17300000000000001,0.462,0.5,0.08,0.5,0,0.747,0.321,1,0.04,0.33299999999999996,2013-14,GeorgiaSt.
Jaylen Hinton,32,0.457,0.406,0.344,0.545,0.33299999999999996,0.594,0.368,0.28600000000000003,0.062,0,NA,0.8440000000000001,0.556,2013-14,GeorgiaSt.
T.J. Shipes,16,0.644,0.688,0.75,0.75,0.667,0.25,0.5,0.5,0,NA,NA,1.062,0.529,2013-14,GeorgiaSt.
Laron Smith,11,0.44600000000000006,0.545,0.909,0.6,0.33299999999999996,0.091,0,NA,0,NA,NA,1.545,0.294,2013-14,GeorgiaSt.
Ryann Green,10,0.389,0.3,0.2,1,0.5,0.2,0.5,0,0.6,0,NA,0.6,0.667,2013-14,GeorgiaSt.
Kevin Shaw,10,0.6,0.6,0,NA,NA,0,NA,NA,1,0.4,1,0,NA,2013-14,GeorgiaSt.
Denny Burguillos,7.000000000000001,0.581,0.5710000000000001,0.7140000000000001,0.6,0.667,0.28600000000000003,0.5,0,0,NA,NA,1,0.5710000000000001,2013-14,GeorgiaSt.
Darius Sharpe,2,0.75,0.75,0,NA,NA,0,NA,NA,1,0.5,0,0,NA,2013-14,GeorgiaSt.
Isaiah Dennis,2,0.75,0.75,0.5,0,NA,0,NA,NA,0.5,1,0,0,NA,2013-14,GeorgiaSt.
Total,1923,0.5790000000000001,0.534,0.36,0.631,0.40700000000000003,0.29,0.37799999999999995,0.218,0.349,0.375,0.897,0.39399999999999996,0.778,2013-14,GeorgiaSt.
