name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tashawn Thomas,45,0.192,0.191,0.725,0.038,0.019,0.2,2013-14
Danrad Knowles,22,0.253,0.228,0.619,0.015,0,0,2013-14
Danuel House,20,0.215,0.188,0.529,0.040999999999999995,0.07400000000000001,0.667,2013-14
Jherrod Stiggers,11,0.13,0.125,0.5710000000000001,0.049,0.091,0.5,2013-14
J.J. Richardson,10,0.294,0.292,0.7,0,0,NA,2013-14
Mikhail McLean,9,0.28,0.294,0.7140000000000001,0.071,0,0,2013-14
Brandon Morris,4,0.091,0.095,0.667,0.04,0,0,2013-14
L.J. Rose,4,0.095,0.053,0.25,0,0,NA,2013-14
Leron Barnes,4,0.086,0.048,0.33299999999999996,0.024,0.1,1,2013-14
Tione Womack,1,0.05,0.111,1,0,0,NA,2013-14
Total,130,0.177,0.17600000000000002,0.637,0.024,0.024,0.33299999999999996,2013-14
