name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Mitchell Patton,33,0.17300000000000001,0.207,0.773,0.064,0.09,0.545,2013-14,IUPUI
Donovan Gibbs,11,0.138,0.132,0.625,0.043,0.03,0.33299999999999996,2013-14,IUPUI
Marcellus Barksdale,8,0.083,0.049,0.33299999999999996,0.023,0.028999999999999998,0.5,2013-14,IUPUI
Justus Stanback,5,0.22699999999999998,0.182,0.4,0,0,NA,2013-14,IUPUI
Josh James,4,0.17600000000000002,0.231,1,0.125,0,0,2013-14,IUPUI
Elijah Ray,4,0.17600000000000002,0.214,1,0.036000000000000004,0,0,2013-14,IUPUI
Ian Chiles,4,0.036000000000000004,0.033,0.5,0,0,NA,2013-14,IUPUI
Khufu Najee,2,0.013999999999999999,0.025,1,0.006999999999999999,0.016,1,2013-14,IUPUI
Ja'Rob McCallum,2,0,0,NA,0.057,0.154,1,2013-14,IUPUI
Total,73,0.09699999999999999,0.109,0.6729999999999999,0.026000000000000002,0.034,0.524,2013-14,IUPUI
