name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
E.J. Reed,268,0.521,0.466,0.575,0.539,0.48200000000000004,0.209,0.375,0.23800000000000002,0.21600000000000003,0.24100000000000002,1,0.586,0.682,2013-14,LIU
Landon Atterberry,252,0.552,0.55,0.5,0.643,0.741,0.313,0.44299999999999995,0.486,0.187,0.319,1,0.27,0.544,2013-14,LIU
Gerrell Martin,242,0.595,0.564,0.298,0.583,0.405,0.149,0.16699999999999998,0.16699999999999998,0.5539999999999999,0.44,0.966,0.21100000000000002,0.863,2013-14,LIU
Jason Brickman,234,0.593,0.536,0.39299999999999996,0.446,0.098,0.064,0.5329999999999999,0.125,0.5429999999999999,0.402,0.33299999999999996,0.376,0.8640000000000001,2013-14,LIU
Troy Joseph,182,0.49100000000000005,0.44799999999999995,0.258,0.532,0.52,0.132,0.292,0,0.61,0.297,1,0.253,0.804,2013-14,LIU
Iverson Fleming,107,0.455,0.425,0.38299999999999995,0.46299999999999997,0.474,0.17800000000000002,0.368,0.28600000000000003,0.439,0.27699999999999997,0.9229999999999999,0.252,0.667,2013-14,LIU
Gilbert Parga,104,0.514,0.423,0.423,0.409,0.5,0.115,0.41700000000000004,0.4,0.462,0.292,1,0.7120000000000001,0.743,2013-14,LIU
Glenn Feidanga,94,0.49300000000000005,0.436,0.596,0.518,0.7240000000000001,0.40399999999999997,0.316,0.41700000000000004,0,NA,NA,0.574,0.667,2013-14,LIU
Joel Hernandez,80,0.449,0.45,0.475,0.474,0.33299999999999996,0.262,0.429,0.222,0.262,0.28600000000000003,1,0.3,0.41700000000000004,2013-14,LIU
D.J. Griggs,69,0.507,0.442,0.377,0.423,0.545,0.145,0.3,0.33299999999999996,0.478,0.33299999999999996,0.909,0.42,0.7929999999999999,2013-14,LIU
Chris Carter,21,0.596,0.5710000000000001,0.19,0.5,1,0.5710000000000001,0.583,0.28600000000000003,0.23800000000000002,0.4,1,0.33299999999999996,0.7140000000000001,2013-14,LIU
"MAJOR,DOMINIQUE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14,LIU
Total,1653,0.533,0.494,0.423,0.527,0.507,0.195,0.373,0.317,0.382,0.345,0.826,0.37799999999999995,0.7170000000000001,2013-14,LIU
