name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tylor Ongwae,359,0.515,0.461,0.401,0.618,0.39299999999999996,0.32299999999999995,0.31,0.25,0.276,0.273,0.889,0.39,0.764,2013-14
Jayon James,204,0.49899999999999994,0.478,0.73,0.597,0.461,0.21100000000000002,0.163,0.14300000000000002,0.059000000000000004,0.083,1,0.574,0.547,2013-14
Marvin Williams,183,0.507,0.489,0.601,0.609,0.672,0.37200000000000005,0.309,0.381,0.027000000000000003,0.2,1,0.311,0.596,2013-14
Nick Coppola,174,0.47600000000000003,0.44799999999999995,0.27,0.532,0.12,0.305,0.264,0.071,0.425,0.35100000000000003,0.8079999999999999,0.259,0.667,2013-14
Amos Olatayo,150,0.531,0.52,0.5329999999999999,0.562,0.622,0.047,0.429,0.33299999999999996,0.42,0.317,0.85,0.34,0.569,2013-14
Daniel Grieves,102,0.501,0.495,0.059000000000000004,0.833,0.2,0.10800000000000001,0.182,0.5,0.833,0.341,0.897,0.078,0.625,2013-14
R.J. McCray,85,0.516,0.48200000000000004,0.32899999999999996,0.5710000000000001,0.312,0.259,0.182,0,0.41200000000000003,0.4,0.857,0.271,0.7390000000000001,2013-14
Chinedu Amajoyi,69,0.528,0.47100000000000003,0.23199999999999998,0.43799999999999994,0.28600000000000003,0.188,0.231,0.33299999999999996,0.58,0.375,1,0.522,0.722,2013-14
Demondre Harvey,64,0.537,0.531,0.812,0.635,0.5760000000000001,0.188,0.083,0,0,NA,NA,0.469,0.5329999999999999,2013-14
Kyle Koszuta,47,0.4010000000000001,0.40399999999999997,0.106,0.2,1,0.128,0.5,1,0.7659999999999999,0.278,1,0.128,0.33299999999999996,2013-14
Millaun Brown,20,0.463,0.5,0.9,0.5,0.444,0.1,0.5,0,0,NA,NA,0.85,0.353,2013-14
Evan Sims,13,0.302,0.308,0.154,0.5,1,0.769,0.3,1,0.077,0,NA,0.308,0.25,2013-14
Leon Carswell II,0,1.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2013-14
Total,1470,0.504,0.47600000000000003,0.447,0.589,0.478,0.247,0.27,0.28600000000000003,0.306,0.318,0.888,0.365,0.632,2013-14
