name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Dan Trist,286,0.5730000000000001,0.545,0.409,0.701,0.537,0.591,0.43799999999999994,0.581,0,NA,NA,0.36700000000000005,0.695,2013-14
Bryce Scott,265,0.5710000000000001,0.523,0.253,0.507,0.41200000000000003,0.27899999999999997,0.5,0.21600000000000003,0.46799999999999997,0.363,0.889,0.302,0.862,2013-14
Joey Ptasinski,256,0.647,0.637,0.145,0.73,0.48100000000000004,0.16,0.39,0.062,0.695,0.449,0.812,0.145,0.757,2013-14
Seth Hinrichs,241,0.619,0.573,0.203,0.6729999999999999,0.273,0.39799999999999996,0.469,0.33299999999999996,0.39799999999999996,0.41700000000000004,0.725,0.324,0.872,2013-14
Nick Lindner,224.00000000000003,0.5720000000000001,0.489,0.48200000000000004,0.47200000000000003,0.039,0.28600000000000003,0.469,0.033,0.23199999999999998,0.365,0.526,0.6559999999999999,0.7959999999999999,2013-14
Zach Rufer,92,0.4750000000000001,0.478,0.185,0.47100000000000003,0.25,0.141,0.231,0,0.674,0.355,0.818,0.207,0.42100000000000004,2013-14
Michael Hoffman,78,0.623,0.615,0.282,0.636,0.429,0.513,0.475,0.789,0.205,0.625,1,0.321,0.64,2013-14
Monty Boykins,70,0.42300000000000004,0.39299999999999996,0.243,0.647,0.364,0.271,0.158,0,0.486,0.265,0.889,0.386,0.556,2013-14
Alan Flannigan,67,0.514,0.455,0.299,0.55,0.727,0.657,0.341,0.6,0.045,1,1,0.40299999999999997,0.778,2013-14
Ben Freeland,30,0.517,0.5329999999999999,0.4,0.583,0.5710000000000001,0.6,0.5,0.556,0,NA,NA,0.133,0.25,2013-14
Nathaniel Musters,27,0.528,0.593,0.33299999999999996,0.889,0.625,0.667,0.444,0.375,0,NA,NA,0.40700000000000003,0.182,2013-14
Jake Newman,12,0.502,0.5,0.25,0.667,0,0.33299999999999996,0.25,0,0.41700000000000004,0.4,1,0.16699999999999998,0.5,2013-14
Billy Murphy,9,0.369,0.389,0.222,1,0.5,0.111,0,NA,0.667,0.16699999999999998,1,0.111,0,2013-14
Jack Detmer,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2013-14
Les Smith,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2013-14
Total,1661,0.5740000000000001,0.54,0.289,0.604,0.386,0.36200000000000004,0.433,0.385,0.349,0.39799999999999996,0.805,0.33899999999999997,0.7440000000000001,2013-14
