name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Malcolm Smith,23,0.156,0.14400000000000002,0.636,0.013000000000000001,0,0,2013-14
Talbott Denny,9,0.09,0.111,0.5,0.16699999999999998,0,0,2013-14
Josh Williams,9,0.059000000000000004,0.075,0.857,0.05,0,0,2013-14
Khion Sankey,8,0.146,0.16,0.5710000000000001,0,0,NA,2013-14
Martin Smith,7,0.064,0.087,0.8,0.017,0.05,1,2013-14
J.C. Hampton,1,0,0,NA,0,0,NA,2013-14
J.J. Butler,1,0.032,0.048,1,0,0,NA,2013-14
Cam Miller,1,0.33299999999999996,1,1,NA,NA,NA,2013-14
Charles Smith,1,0.16699999999999998,0,0,0,NA,NA,2013-14
Total,60,0.083,0.09300000000000001,0.66,0.023,0.01,0.14300000000000002,2013-14
