name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kareem Canty,501.99999999999994,0.4750000000000001,0.43700000000000006,0.201,0.5539999999999999,0.25,0.373,0.353,0.076,0.426,0.304,0.292,0.271,0.728,2013-14,Marshall
Chris Thomas,341,0.512,0.488,0.531,0.591,0.252,0.22,0.33299999999999996,0.44,0.249,0.271,0.9129999999999999,0.428,0.596,2013-14,Marshall
Ryan Taylor,286,0.555,0.509,0.462,0.659,0.43700000000000006,0.308,0.341,0.5329999999999999,0.231,0.28800000000000003,1,0.528,0.7020000000000001,2013-14,Marshall
Shawn Smith,202.99999999999997,0.512,0.478,0.488,0.596,0.5589999999999999,0.163,0.242,0.25,0.35,0.282,1,0.429,0.644,2013-14,Marshall
Elijah Pittman,136,0.5670000000000001,0.581,0.309,0.667,0.643,0.14,0.474,0.556,0.551,0.373,0.7140000000000001,0.529,0.486,2013-14,Marshall
Tyquane Goard,133,0.5670000000000001,0.534,0.662,0.693,0.541,0.316,0.23800000000000002,0.7,0.023,0,NA,0.602,0.65,2013-14,Marshall
Tamron Manning,119,0.451,0.395,0.235,0.39299999999999996,0.273,0.235,0.321,0.444,0.529,0.28600000000000003,0.833,0.40299999999999997,0.708,2013-14,Marshall
Devince Boykins,95,0.477,0.516,0.41100000000000003,0.513,0.65,0.095,0.222,0,0.495,0.38299999999999995,1,0.358,0.235,2013-14,Marshall
Cheikh Sane,79,0.4730000000000001,0.46799999999999997,0.684,0.574,0.516,0.316,0.24,0.33299999999999996,0,NA,NA,0.6579999999999999,0.462,2013-14,Marshall
Austin Loop,33,0.5720000000000001,0.561,0.061,1,0.5,0.03,0,NA,0.909,0.36700000000000005,1,0.182,0.667,2013-14,Marshall
Yous Mbao,9,0.739,0.778,0.556,1,0.8,0.444,0.5,1,0,NA,NA,0.111,0,2013-14,Marshall
Kevin McNair,2,0.6859999999999999,0.5,0.5,1,0,0,NA,NA,0.5,0,NA,2.5,0.8,2013-14,Marshall
Total,1938,0.513,0.484,0.39799999999999996,0.606,0.42700000000000005,0.264,0.327,0.32299999999999995,0.33799999999999997,0.308,0.708,0.42200000000000004,0.622,2013-14,Marshall
