name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tyquane Goard,26,0.273,0.24600000000000002,0.625,0.048,0.1,0.5,2013-14
Cheikh Sane,26,0.40700000000000003,0.419,0.591,0.16,0.16699999999999998,0.25,2013-14
Ryan Taylor,20,0.136,0.138,0.667,0.023,0.067,1,2013-14
Chris Thomas,16,0.08800000000000001,0.084,0.562,0,0,NA,2013-14
Shawn Smith,15,0.121,0.11900000000000001,0.583,0.091,0.25,0.667,2013-14
Elijah Pittman,6,0.11900000000000001,0.179,1,0.053,0,0,2013-14
Devince Boykins,6,0.154,0.1,0.33299999999999996,0,0,NA,2013-14
Kareem Canty,3,0,0,NA,0.016,0.015,0.33299999999999996,2013-14
Tamron Manning,2,0.071,0.091,0.5,0,0,NA,2013-14
Kevin McNair,1,1,1,1,NA,NA,NA,2013-14
Yous Mbao,1,0.2,0.2,1,0,0,NA,2013-14
Total,122,0.139,0.141,0.617,0.028999999999999998,0.042,0.467,2013-14
