name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Jordan Morgan,29,0.175,0.09699999999999999,0.429,0.25,0.278,0.667,2013-14
Glenn Robinson III,23,0.094,0.05,0.444,0.083,0.10099999999999999,0.5,2013-14
Jon Horford,18,0.11599999999999999,0.132,1,0.2,0.25,0.462,2013-14
Mitch McGary,9,0.22699999999999998,0.188,0.6,0.129,0.214,0.75,2013-14
Nik Stauskas,4,0.012,0.019,1,0.019,0.024,0.5,2013-14
Zak Irvin,4,0,0,NA,0.075,0,0,2013-14
Max Bielfeldt,4,0.33299999999999996,NA,0,0.33299999999999996,0,0,2013-14
Caris LeVert,3,0,0,NA,0.02,0.022000000000000002,0.33299999999999996,2013-14
Walton Derrick,2,0,0,NA,0.013999999999999999,0,0,2013-14
Michael Albrecht,1,0,0,NA,0.062,0,0,2013-14
Total,97,0.075,0.054000000000000006,0.5429999999999999,0.08199999999999999,0.102,0.475,2013-14
