name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Flavien Davis,274,0.532,0.478,0.591,0.586,0.43200000000000005,0.38299999999999995,0.314,0.303,0.026000000000000002,0.28600000000000003,0.5,0.69,0.6609999999999999,2013-14
Marcus Colbert,223,0.5700000000000001,0.531,0.305,0.5589999999999999,0.053,0.175,0.41,0.125,0.52,0.371,0.535,0.305,0.794,2013-14
Paul Egwuonwu,213,0.546,0.502,0.38,0.654,0.396,0.62,0.409,0.46299999999999997,0,NA,NA,0.465,0.7070000000000001,2013-14
Antonio Biglow,195,0.463,0.405,0.344,0.507,0.059000000000000004,0.426,0.361,0.033,0.231,0.222,0.9,0.446,0.701,2013-14
Terrell Brown,162,0.524,0.451,0.105,0.47100000000000003,0.25,0.512,0.45799999999999996,0.5,0.38299999999999995,0.29,0.778,0.414,0.851,2013-14
Michael Dison,160,0.464,0.444,0.312,0.38,0,0.36200000000000004,0.483,0.25,0.325,0.308,0.938,0.275,0.591,2013-14
Calen Coleman,147,0.5770000000000001,0.565,0.204,0.7,0.28600000000000003,0.102,0.33299999999999996,0.2,0.6940000000000001,0.373,0.9209999999999999,0.177,0.6920000000000001,2013-14
Stephan Holm,137,0.606,0.602,0.19,0.5770000000000001,0.267,0.11699999999999999,0.375,0,0.693,0.43200000000000005,0.902,0.051,0.7140000000000001,2013-14
Eric Norman,72,0.648,0.639,0.431,0.71,0.545,0.139,0.3,0.667,0.431,0.452,1,0.264,0.684,2013-14
Danny Robison,53,0.543,0.48100000000000004,0.5660000000000001,0.6,0.389,0.20800000000000002,0.273,0,0.226,0.25,1,0.45299999999999996,0.792,2013-14
Blake Brumwell,19,0.503,0.474,0.737,0.643,0.444,0.263,0,NA,0,NA,NA,0.316,0.667,2013-14
Ryan Shannon,6,0.5,0.5,0.833,0.6,1,0.16699999999999998,0,NA,0,NA,NA,0,NA,2013-14
Total,1661,0.537,0.499,0.35,0.5770000000000001,0.31,0.336,0.387,0.31,0.314,0.354,0.816,0.38299999999999995,0.711,2013-14
