name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Lamont Middleton,428,0.49300000000000005,0.386,0.33899999999999997,0.428,0.27399999999999997,0.276,0.237,0.107,0.386,0.303,0.74,0.6779999999999999,0.7859999999999999,2013-14,N.C.A&T
Richaud Pack,290,0.618,0.531,0.428,0.5479999999999999,0.353,0.10300000000000001,0.267,0.25,0.469,0.382,0.846,0.797,0.805,2013-14,N.C.A&T
Bruce Beckford,229.99999999999997,0.523,0.46299999999999997,0.409,0.638,0.41700000000000004,0.37,0.38799999999999996,0.515,0.222,0.17600000000000002,1,0.44299999999999995,0.765,2013-14,N.C.A&T
Jeremy Underwood,199,0.461,0.405,0.18600000000000003,0.297,0.091,0.221,0.318,0.14300000000000002,0.593,0.314,0.622,0.523,0.654,2013-14,N.C.A&T
Khary Doby,113.99999999999999,0.41800000000000004,0.41700000000000004,0.21100000000000002,0.45799999999999996,0.364,0.342,0.282,0.636,0.447,0.33299999999999996,0.8240000000000001,0.281,0.406,2013-14,N.C.A&T
Bryan Akinkugbe,100,0.48200000000000004,0.46,0.66,0.515,0.441,0.33,0.364,0.41700000000000004,0.01,0,NA,0.47,0.5529999999999999,2013-14,N.C.A&T
Waylan Siverand,61,0.531,0.508,0.902,0.564,0.484,0.098,0,NA,0,NA,NA,0.82,0.56,2013-14,N.C.A&T
Denzel Keyes,53,0.43500000000000005,0.425,0.604,0.469,0.267,0.17,0.33299999999999996,0.33299999999999996,0.226,0.25,0.667,0.45299999999999996,0.45799999999999996,2013-14,N.C.A&T
Michael Briscoe,37,0.308,0.311,0.514,0.474,0.111,0.18899999999999997,0.14300000000000002,0,0.297,0.091,1,0.297,0.273,2013-14,N.C.A&T
Jerome Simmons,36,0.528,0.528,0.8059999999999999,0.552,0.43799999999999994,0.19399999999999998,0.429,0.667,0,NA,NA,0.33299999999999996,0.5,2013-14,N.C.A&T
Steven Burroughs,28.999999999999996,0.42100000000000004,0.44799999999999995,0.9309999999999999,0.48100000000000004,0.9229999999999999,0.069,0,NA,0,NA,NA,1,0.345,2013-14,N.C.A&T
Ahmad Abdullah,28.000000000000004,0.34099999999999997,0.28600000000000003,0.25,0.429,0.33299999999999996,0.28600000000000003,0.25,0.5,0.46399999999999997,0.154,1,0.321,0.667,2013-14,N.C.A&T
Maurice Taylor,22,0.28900000000000003,0.182,0.545,0.33299999999999996,0.25,0.182,0,NA,0.273,0,NA,1.045,0.478,2013-14,N.C.A&T
"JAMES,JOSH",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14,N.C.A&T
"JONES,KYREE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14,N.C.A&T
"GUILLAUME,PINA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14,N.C.A&T
Total,1627,0.501,0.435,0.41200000000000003,0.502,0.377,0.24100000000000002,0.293,0.348,0.34700000000000003,0.303,0.772,0.593,0.6990000000000001,2013-14,N.C.A&T
