name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Alex Kirk,33,0.193,0.16699999999999998,0.607,0.037000000000000005,0.059000000000000004,0.6,2013-14,NewMexico
Cameron Bairstow,27,0.121,0.109,0.625,0.013000000000000001,0.02,0.667,2013-14,NewMexico
Deshawn Delaney,16,0.22,0.196,0.6920000000000001,0.111,0,0,2013-14,NewMexico
Hugh Greenwood,13,0.44799999999999995,0.5,0.6920000000000001,0,0,NA,2013-14,NewMexico
Kendall Williams,6,0.027000000000000003,0.015,0.33299999999999996,0.013000000000000001,0,0,2013-14,NewMexico
Cullen Neal,4,0.05,0,0,0.045,0,0,2013-14,NewMexico
Obij Aget,4,0.19,0.214,0.75,0,NA,NA,2013-14,NewMexico
Cleveland Thomas,3,0.12,0.2,0.667,0,0,NA,2013-14,NewMexico
Nick Banyard,3,0.125,0.14300000000000002,0.5,0,0,NA,2013-14,NewMexico
Arthur Edwards,2,0.16699999999999998,0.5,1,0.25,0.5,1,2013-14,NewMexico
Devon Williams,1,1,1,1,NA,NA,NA,2013-14,NewMexico
Total,112,0.14300000000000002,0.139,0.628,0.025,0.027000000000000003,0.4,2013-14,NewMexico
