name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Derrick Barden,313,0.615,0.601,0.581,0.7090000000000001,0.465,0.281,0.39799999999999996,0.34299999999999997,0.13699999999999998,0.37200000000000005,0.875,0.36700000000000005,0.6609999999999999,2013-14
Tate Unruh,300,0.618,0.58,0.147,0.545,0.41700000000000004,0.243,0.493,0.444,0.61,0.415,0.9079999999999999,0.207,0.9520000000000001,2013-14
Tevin Svihovec,254,0.523,0.45299999999999996,0.33899999999999997,0.5,0.18600000000000003,0.441,0.375,0.071,0.22,0.35700000000000004,0.85,0.496,0.778,2013-14
Tim Huskisson,216,0.617,0.604,0.532,0.67,0.247,0.204,0.364,0.375,0.264,0.439,0.92,0.5,0.639,2013-14
Jordan Wilson,209,0.525,0.502,0.158,0.606,0.2,0.397,0.446,0.135,0.445,0.344,0.469,0.177,0.757,2013-14
Dominique Lee,128,0.647,0.664,0.7340000000000001,0.745,0.429,0.195,0.36,0,0.07,0.444,1,0.578,0.5539999999999999,2013-14
Corey Spence,106,0.41000000000000003,0.368,0.698,0.446,0.152,0.17,0.16699999999999998,0,0.132,0.14300000000000002,1,0.387,0.61,2013-14
Connor Osborne,80,0.518,0.525,0.638,0.647,0.5760000000000001,0.36200000000000004,0.31,0.444,0,NA,NA,0.588,0.46799999999999997,2013-14
Anthony Johnson,63,0.587,0.5710000000000001,0.222,0.7140000000000001,0.5,0.28600000000000003,0.278,0,0.49200000000000005,0.452,0.929,0.28600000000000003,0.667,2013-14
Cody McDavis,57.99999999999999,0.628,0.603,0.379,0.8640000000000001,0.737,0.621,0.444,0.562,0,NA,NA,0.293,0.765,2013-14
Brendan Keane,19,0.359,0.342,0.263,0.8,0.5,0.579,0.091,0,0.158,0.33299999999999996,1,0.053,1,2013-14
Xzaivier James,4,0.4710000000000001,0.5,0.25,1,0,0.25,1,0,0.5,0,NA,1.25,0.4,2013-14
Jon'Te Dotson,2,0.5,0.5,0.5,1,0,0,NA,NA,0.5,0,NA,0,NA,2013-14
"DISON,MICHAEL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14
"EGWUONWU,PAUL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14
"BIGLOW,ANTONIO",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14
Total,1752,0.5730000000000001,0.547,0.41200000000000003,0.643,0.379,0.307,0.39,0.262,0.281,0.386,0.8320000000000001,0.37200000000000005,0.685,2013-14
